0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
o,c,n,m,s,r,h,v,t,t,q,a,,,
j,n,m,r,s,h,v,s,t,q,a,,,,
o,c,n,m,k,h,v,g,t,q,a,,,,
j,n,m,r,s,h,a,v,t,q,a,,,,
e,u,b,i,f,n,a,m,s,r,h,v,t,q,a
o,c,c,n,m,r,s,h,v,t,q,a,,,
o,c,k,n,m,r,s,h,v,t,q,a,,,
o,c,n,m,s,r,h,v,t,r,q,a,,,
i,f,u,e,b,n,m,s,g,r,h,v,t,q,a
o,c,n,m,r,s,h,v,q,t,q,a,,,
o,c,n,m,k,h,v,t,q,n,a,,,,
d,p,g,l,n,m,k,o,h,v,t,q,a,,
d,g,l,p,n,i,m,k,h,v,t,q,a,,
j,n,m,k,h,v,t,v,q,a,,,,,
d,l,g,l,p,n,m,k,h,v,t,q,a,,
k,o,c,n,m,r,s,h,v,t,q,a,,,
g,l,f,d,p,n,m,k,h,v,t,q,a,,
g,l,d,k,p,n,m,k,h,v,t,q,a,,
o,c,n,m,n,s,r,h,v,t,q,a,,,
o,c,n,m,k,c,h,v,t,q,a,,,,
u,i,e,f,h,b,n,m,k,h,v,t,q,a,
o,c,n,n,m,k,h,v,t,q,a,,,,
j,n,m,s,r,h,i,v,t,q,a,,,,
g,d,p,n,l,n,m,r,s,h,v,t,q,a,
g,l,d,p,n,m,r,s,h,v,t,q,l,a,
i,e,c,u,b,f,n,m,s,r,h,v,t,q,a
o,i,u,e,f,b,n,m,k,h,v,t,q,a,
e,u,i,f,b,o,n,m,r,s,h,v,t,q,a
o,c,n,m,k,h,v,t,p,q,a,,,,
d,p,g,l,n,m,k,h,v,t,f,q,a,,
g,l,d,p,n,m,k,h,v,t,q,e,a,,
e,i,f,u,b,n,m,k,h,v,e,t,q,a,
o,c,n,m,s,r,h,g,v,t,q,a,,,
g,l,d,p,n,m,o,k,h,v,t,q,a,,
o,c,n,a,m,r,s,h,v,t,q,a,,,
o,c,n,m,r,s,h,v,g,t,q,a,,,
d,p,g,l,n,m,r,s,a,h,v,t,q,a,
d,g,l,p,n,m,r,s,s,h,v,t,q,a,
g,d,l,p,n,m,g,s,r,h,v,t,q,a,
t,o,c,n,m,k,h,v,t,q,a,,,,
j,n,m,s,r,h,v,d,t,q,a,,,,
e,u,b,i,f,n,m,s,r,h,u,v,t,q,a
d,g,l,p,n,m,r,f,s,h,v,t,q,a,
o,c,n,s,m,s,r,h,v,t,q,a,,,
j,n,l,m,k,h,v,t,q,a,,,,,
d,p,g,j,l,n,m,k,h,v,t,q,a,,
o,c,o,n,m,k,h,v,t,q,a,,,,
j,n,m,k,j,h,v,t,q,a,,,,,
g,d,p,l,n,n,m,k,h,v,t,q,a,,
h,j,n,m,k,h,v,t,q,a,,,,,
o,c,n,m,s,r,i,h,v,t,q,a,,,
e,u,i,f,b,p,n,m,r,s,h,v,t,q,a
j,n,m,k,h,n,v,t,q,a,,,,,
d,g,l,p,n,m,r,k,s,h,v,t,q,a,
j,n,m,l,r,s,h,v,t,q,a,,,,
j,n,m,k,h,d,v,t,q,a,,,,,
d,p,g,l,p,n,m,r,s,h,v,t,q,a,
e,i,u,f,b,n,m,r,s,h,v,t,q,o,a
i,u,e,c,b,f,n,m,k,h,v,t,q,a,
d,p,m,g,l,n,m,k,h,v,t,q,a,,
g,d,l,p,n,m,k,h,v,t,v,q,a,,
g,l,d,p,n,m,k,h,v,d,t,q,a,,
o,c,a,n,m,r,s,h,v,t,q,a,,,
e,i,f,u,b,n,m,k,h,e,v,t,q,a,
g,l,d,p,n,m,k,h,u,v,t,q,a,,
u,b,e,i,f,n,m,r,s,l,h,v,t,q,a
o,c,n,m,r,s,h,v,t,e,q,a,,,
o,g,c,n,m,r,s,h,v,t,q,a,,,
u,i,e,b,f,n,m,r,s,h,s,v,t,q,a
u,b,i,e,u,f,n,m,s,r,h,v,t,q,a
j,n,m,k,h,v,t,q,d,a,,,,,
j,n,m,s,d,r,h,v,t,q,a,,,,
j,n,m,k,k,h,v,t,q,a,,,,,
e,u,i,f,b,n,m,k,h,v,t,k,q,a,
o,c,n,m,s,t,r,h,v,t,q,a,,,
i,f,g,u,e,b,n,m,k,h,v,t,q,a,
j,n,m,k,h,v,t,a,q,a,,,,,
d,g,p,l,n,o,m,s,r,h,v,t,q,a,
d,u,b,i,f,e,n,m,k,h,v,t,q,a,
g,l,d,p,n,m,k,h,v,t,q,j,a,,
i,e,f,u,b,n,m,k,h,v,t,t,q,a,
e,i,u,f,b,n,m,r,u,s,h,v,t,q,a
u,i,f,e,b,t,n,m,k,h,v,t,q,a,
j,v,n,m,s,r,h,v,t,q,a,,,,
o,c,n,m,i,k,h,v,t,q,a,,,,
j,n,m,k,h,v,t,q,j,a,,,,,
j,u,e,i,b,f,n,m,s,r,h,v,t,q,a
o,c,c,n,m,k,h,v,t,q,a,,,,
u,m,b,i,f,e,n,m,s,r,h,v,t,q,a
j,n,n,m,s,r,h,v,t,q,a,,,,
i,u,e,q,b,f,n,m,s,r,h,v,t,q,a
j,n,m,k,h,v,m,t,q,a,,,,,
j,n,m,r,s,h,v,o,t,q,a,,,,
g,g,l,d,p,n,m,s,r,h,v,t,q,a,
g,l,d,p,n,e,m,k,h,v,t,q,a,,
o,c,n,j,m,k,h,v,t,q,a,,,,
d,g,d,l,p,n,m,s,r,h,v,t,q,a,
g,l,k,d,p,n,m,r,s,h,v,t,q,a,
j,n,m,k,h,v,t,n,q,a,,,,,
o,c,n,m,k,j,h,v,t,q,a,,,,
i,e,u,b,f,n,m,k,u,h,v,t,q,a,
j,n,m,r,s,d,h,v,t,q,a,,,,
o,d,p,g,l,n,m,r,s,h,v,t,q,a,
o,c,n,m,r,s,h,v,n,t,q,a,,,
u,e,i,b,f,n,m,k,h,j,v,t,q,a,
o,c,j,n,m,r,s,h,v,t,q,a,,,
q,u,i,b,e,f,n,m,k,h,v,t,q,a,
j,n,q,m,k,h,v,t,q,a,,,,,
g,d,l,p,n,m,r,s,a,h,v,t,q,a,
