0,1,2,3,4,5,6,7,8,9,10,11
BOS,i,g,q,k,e,s,b,l,l,j,EOS
BOS,g,i,h,k,e,s,b,l,g,j,EOS
BOS,g,i,h,k,e,s,b,l,j,r,EOS
BOS,i,h,g,k,e,s,b,l,j,d,EOS
BOS,a,e,m,c,f,n,d,t,u,o,EOS
BOS,a,c,m,f,n,d,t,u,o,q,EOS
BOS,i,m,p,g,k,e,s,b,l,j,EOS
BOS,a,r,c,m,f,n,d,t,u,o,EOS
BOS,g,i,i,p,k,e,s,b,l,j,EOS
BOS,g,i,h,k,e,o,s,b,l,j,EOS
BOS,a,g,i,p,k,e,s,b,l,j,EOS
BOS,i,g,h,k,e,s,b,l,a,j,EOS
BOS,i,u,q,g,k,e,s,b,l,j,EOS
BOS,g,i,q,k,e,s,b,u,l,j,EOS
BOS,g,i,q,k,e,s,b,l,j,j,EOS
BOS,i,g,p,k,e,s,k,b,l,j,EOS
BOS,i,g,p,k,q,e,s,b,l,j,EOS
BOS,a,k,m,c,f,n,r,u,o,EOS,
BOS,a,c,f,m,BOS,n,d,t,u,o,EOS
BOS,c,f,n,d,a,t,u,o,b,m,EOS
BOS,c,f,a,m,n,r,u,u,o,EOS,
BOS,c,f,a,m,f,n,r,u,o,EOS,
BOS,c,f,h,a,n,d,m,t,u,o,EOS
BOS,c,a,m,f,o,n,d,t,u,o,EOS
BOS,a,c,m,f,n,d,k,t,u,o,EOS
BOS,g,i,q,k,e,e,s,b,l,j,EOS
BOS,i,u,h,g,k,e,s,b,l,j,EOS
BOS,c,a,f,m,n,r,u,r,o,EOS,
BOS,c,a,c,f,m,n,d,t,u,o,EOS
BOS,a,BOS,c,f,n,d,m,t,u,o,EOS
BOS,a,c,m,f,n,p,r,u,o,EOS,
BOS,a,m,c,BOS,f,n,r,u,o,EOS,
BOS,g,i,BOS,h,k,e,s,b,l,j,EOS
BOS,i,q,g,k,e,s,b,l,j,g,EOS
BOS,a,m,c,f,m,n,r,u,o,EOS,
BOS,g,i,p,k,m,e,s,b,l,j,EOS
BOS,g,i,p,k,e,s,b,a,l,j,EOS
BOS,a,m,o,c,f,n,d,t,u,o,EOS
BOS,g,i,h,k,e,l,s,b,l,j,EOS
BOS,a,m,c,d,f,n,r,u,o,EOS,
BOS,i,q,q,g,k,e,s,b,l,j,EOS
BOS,i,m,h,g,k,e,s,b,l,j,EOS
BOS,i,g,p,g,k,e,s,b,l,j,EOS
BOS,i,g,q,e,k,e,s,b,l,j,EOS
BOS,i,p,g,k,e,s,b,l,j,o,EOS
r,BOS,c,a,m,f,n,d,t,u,o,EOS
BOS,i,q,g,c,k,e,s,b,l,j,EOS
BOS,c,f,n,a,m,d,t,u,u,o,EOS
BOS,g,i,q,k,BOS,e,s,b,l,j,EOS
BOS,c,a,f,c,n,r,u,m,o,EOS,
BOS,i,g,q,k,e,n,s,b,l,j,EOS
BOS,a,c,f,n,i,r,m,u,o,EOS,
BOS,i,p,g,k,e,s,b,l,j,i,EOS
BOS,g,i,h,k,e,s,g,b,l,j,EOS
BOS,a,m,c,f,n,r,u,o,t,EOS,
BOS,g,i,g,q,k,e,s,b,l,j,EOS
BOS,c,a,m,f,n,i,d,t,u,o,EOS
BOS,c,f,a,m,n,r,u,l,o,EOS,
e,BOS,c,a,m,f,n,r,u,o,EOS,
BOS,a,t,c,m,f,n,r,u,o,EOS,
BOS,i,h,g,t,k,e,s,b,l,j,EOS
BOS,a,m,c,f,n,d,t,u,k,o,EOS
