0,1,2,3,4,5,6,7,8,9,10,11
BOS,i,g,q,k,e,s,b,l,o,j,EOS
BOS,g,i,h,k,e,s,b,d,l,j,EOS
BOS,g,i,h,k,e,s,b,l,u,j,EOS
BOS,i,h,g,k,q,e,s,b,l,j,EOS
BOS,n,a,m,c,f,n,d,t,u,o,EOS
BOS,a,c,m,u,f,n,d,t,u,o,EOS
BOS,i,p,g,k,e,s,b,l,j,m,EOS
BOS,a,c,m,f,n,d,t,u,g,o,EOS
BOS,g,i,p,k,e,s,b,l,t,j,EOS
BOS,g,i,h,k,e,s,b,l,i,j,EOS
BOS,g,i,p,k,e,s,b,l,j,q,EOS
BOS,i,g,h,f,k,e,s,b,l,j,EOS
p,BOS,i,q,g,k,e,s,b,l,j,EOS
BOS,g,i,b,q,k,e,s,b,l,j,EOS
BOS,g,i,q,k,t,e,s,b,l,j,EOS
BOS,k,i,g,p,k,e,s,b,l,j,EOS
BOS,i,g,l,p,k,e,s,b,l,j,EOS
c,BOS,a,m,c,f,n,r,u,o,EOS,
d,BOS,a,c,f,m,n,d,t,u,o,EOS
BOS,c,f,n,d,a,t,u,a,o,m,EOS
BOS,c,f,a,m,n,r,u,o,t,EOS,
BOS,c,a,m,f,n,r,r,u,o,EOS,
BOS,c,f,a,n,d,m,t,p,u,o,EOS
BOS,c,a,m,f,n,k,d,t,u,o,EOS
BOS,a,c,m,f,m,n,d,t,u,o,EOS
BOS,g,i,q,k,e,s,b,o,l,j,EOS
BOS,i,h,g,k,e,s,b,l,s,j,EOS
BOS,p,c,a,f,m,n,r,u,o,EOS,
BOS,c,a,f,m,n,d,t,b,u,o,EOS
BOS,a,c,f,n,d,m,b,t,u,o,EOS
BOS,a,c,a,m,f,n,r,u,o,EOS,
BOS,a,a,m,c,f,n,r,u,o,EOS,
BOS,g,i,h,k,e,s,b,g,l,j,EOS
BOS,i,EOS,q,g,k,e,s,b,l,j,EOS
BOS,a,c,f,m,n,r,u,o,h,EOS,
BOS,c,g,i,p,k,e,s,b,l,j,EOS
BOS,n,g,i,p,k,e,s,b,l,j,EOS
BOS,a,m,c,f,u,n,d,t,u,o,EOS
BOS,g,i,h,k,e,s,b,l,j,u,EOS
BOS,a,m,c,f,n,r,p,u,o,EOS,
BOS,i,EOS,q,g,k,e,s,b,l,j,EOS
BOS,i,h,g,k,e,s,b,u,l,j,EOS
BOS,i,p,g,k,e,s,b,l,BOS,j,EOS
BOS,i,g,q,e,k,e,s,b,l,j,EOS
BOS,i,p,n,g,k,e,s,b,l,j,EOS
BOS,l,c,a,m,f,n,d,t,u,o,EOS
n,BOS,i,q,g,k,e,s,b,l,j,EOS
BOS,c,f,n,p,a,m,d,t,u,o,EOS
BOS,g,i,q,k,e,s,b,l,j,l,EOS
s,BOS,c,a,f,n,r,u,m,o,EOS,
BOS,i,c,g,q,k,e,s,b,l,j,EOS
BOS,c,a,c,f,n,r,m,u,o,EOS,
