0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
BOS,b,j,c,a,k,h,s,r,l,m,u,f,o,d,n,n,t,EOS,,,,,,,,,,,,,,
BOS,b,j,c,a,k,h,s,r,i,e,f,o,d,n,t,n,t,n,t,EOS,,,,,,,,,,,,
BOS,b,j,c,a,k,h,f,r,i,e,s,o,g,p,q,o,g,p,q,o,g,p,q,d,n,t,n,t,n,EOS,,
BOS,b,t,c,a,k,h,s,r,l,m,u,f,o,d,n,j,n,EOS,,,,,,,,,,,,,,
BOS,b,j,n,a,k,h,s,r,l,e,f,o,d,c,EOS,,,,,,,,,,,,,,,,,
BOS,b,r,c,a,k,h,s,j,l,m,u,f,o,d,n,t,n,EOS,,,,,,,,,,,,,,
BOS,b,j,c,a,k,h,s,r,i,e,f,EOS,g,p,q,o,d,n,o,,,,,,,,,,,,,
BOS,b,j,c,a,k,h,s,r,l,m,o,f,o,g,p,q,o,g,p,q,g,p,q,u,d,n,EOS,,,,,
BOS,b,j,EOS,a,k,h,s,r,l,e,f,o,d,n,t,n,t,n,t,c,,,,,,,,,,,,
BOS,g,j,c,a,k,h,s,r,i,e,f,o,b,p,q,o,g,p,q,o,g,p,q,d,n,t,n,t,n,EOS,,
BOS,b,j,c,a,k,h,s,r,l,m,u,f,o,g,p,q,o,g,p,q,t,d,n,o,n,t,n,t,EOS,,,
BOS,b,a,c,j,k,h,s,r,i,m,u,f,o,g,p,q,o,d,n,EOS,,,,,,,,,,,,
BOS,j,b,c,a,k,h,s,r,i,m,u,f,o,d,n,EOS,,,,,,,,,,,,,,,,
BOS,o,j,c,a,k,h,s,r,l,m,u,f,b,g,p,q,o,d,n,t,n,EOS,,,,,,,,,,
s,b,j,c,a,k,h,BOS,r,i,e,f,o,d,n,t,n,t,n,EOS,,,,,,,,,,,,,
BOS,b,j,f,a,k,h,s,r,i,e,c,o,d,n,EOS,,,,,,,,,,,,,,,,,
BOS,b,j,c,a,k,h,s,r,d,e,f,o,g,p,q,o,l,n,EOS,,,,,,,,,,,,,
BOS,b,j,c,a,k,h,s,r,i,e,f,o,g,p,q,o,g,p,q,o,g,p,t,q,d,n,t,n,t,n,EOS,
BOS,b,j,c,a,k,h,n,r,l,e,f,o,d,n,t,s,EOS,,,,,,,,,,,,,,,
BOS,b,j,c,a,r,h,s,k,i,e,f,o,d,n,EOS,,,,,,,,,,,,,,,,,
