0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
c,g,e,h,i,d,j,h,i,j,d,h,i,e,k,f,a,,,
c,g,e,k,i,b,k,a,f,,,,,,,,,,,
c,h,e,h,i,j,d,h,i,b,k,f,a,,,,,,,
c,e,e,h,i,d,j,h,i,j,d,h,i,b,k,f,a,,,
c,g,e,h,d,b,k,f,a,,,,,,,,,,,
c,g,e,h,c,b,k,a,f,,,,,,,,,,,
c,g,e,h,i,b,k,a,f,,,,,,,,,,,
c,g,e,h,i,j,d,h,f,b,k,a,f,,,,,,,
c,i,e,h,i,b,k,a,f,,,,,,,,,,,
c,g,e,i,i,b,k,f,a,,,,,,,,,,,
c,g,e,h,i,d,j,e,i,b,k,a,f,,,,,,,
c,g,e,h,i,b,k,g,a,,,,,,,,,,,
c,g,e,h,i,j,d,h,i,d,j,h,i,b,k,f,j,,,
c,g,e,h,i,b,k,f,a,,,,,,,,,,,
c,g,e,h,e,d,j,h,i,b,k,a,f,,,,,,,
c,g,e,h,i,b,c,a,f,,,,,,,,,,,
j,g,e,h,i,b,k,f,a,,,,,,,,,,,
c,g,e,h,i,j,d,h,i,d,j,h,i,j,d,b,k,k,a,
c,g,e,h,i,j,d,h,i,g,k,a,f,,,,,,,
c,g,e,h,i,d,j,h,i,d,g,h,i,b,k,f,a,,,
c,g,d,h,i,d,j,h,i,j,d,h,i,b,k,f,a,,,
c,a,e,h,i,b,k,a,f,,,,,,,,,,,
c,g,e,h,i,b,k,g,f,,,,,,,,,,,
c,g,e,h,g,b,k,f,a,,,,,,,,,,,
b,g,e,h,i,b,k,a,f,,,,,,,,,,,
c,g,e,h,i,d,j,b,i,b,k,a,f,,,,,,,
c,g,e,h,i,b,j,f,a,,,,,,,,,,,
c,g,e,h,i,j,d,h,i,j,d,h,i,d,j,b,k,f,a,
c,g,e,h,i,b,k,f,i,,,,,,,,,,,
c,g,e,h,i,d,j,h,i,d,j,h,i,j,k,f,a,,,
