0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
BOS,d,k,q,c,u,f,n,b,j,r,h,g,h,a,p,s,t,EOS,,,
BOS,d,k,q,c,u,f,n,b,g,j,r,h,n,a,p,s,t,EOS,,,
BOS,d,k,q,c,u,f,n,q,b,e,h,a,s,p,t,EOS,,,,,
j,BOS,d,k,q,c,u,f,n,b,e,h,a,p,s,t,EOS,,,,,
BOS,d,i,m,l,o,q,c,u,f,n,b,j,r,g,h,a,e,p,s,t,EOS
BOS,d,k,q,c,u,f,n,b,e,h,a,g,p,t,s,EOS,,,,,
BOS,d,i,m,l,o,q,c,u,f,n,b,j,r,g,h,a,s,p,g,t,EOS
p,BOS,d,k,q,c,u,f,n,b,g,j,r,h,a,s,p,t,EOS,,,
b,BOS,d,k,q,c,u,f,n,b,e,h,a,p,t,s,EOS,,,,,
BOS,d,i,m,o,l,q,c,u,f,a,n,b,e,h,a,s,p,t,EOS,,
BOS,o,d,k,q,c,u,f,n,b,e,h,a,s,p,t,EOS,,,,,
BOS,d,i,m,l,o,q,c,u,f,n,BOS,b,e,h,a,p,t,s,EOS,,
BOS,d,i,m,o,u,l,q,c,u,f,n,b,g,r,j,h,a,s,p,t,EOS
BOS,d,d,i,m,l,o,q,c,u,f,n,b,e,h,a,p,s,t,EOS,,
BOS,d,i,m,o,l,q,c,u,f,n,b,j,r,g,h,a,s,p,t,i,EOS
BOS,d,i,m,l,o,q,c,u,f,n,b,b,e,h,a,p,t,s,EOS,,
BOS,c,d,i,m,l,o,q,c,u,f,n,b,r,j,g,h,a,p,t,s,EOS
BOS,d,k,q,c,u,f,n,b,e,EOS,h,a,p,t,s,EOS,,,,,
BOS,d,k,q,c,u,f,n,b,g,j,r,h,BOS,a,s,p,t,EOS,,,
BOS,d,k,q,c,u,f,n,b,s,g,j,r,h,a,p,t,s,EOS,,,
BOS,d,i,m,o,l,q,c,u,f,u,n,b,e,h,a,s,p,t,EOS,,
BOS,d,i,m,o,l,q,c,u,f,n,EOS,b,e,h,a,s,p,t,EOS,,
BOS,d,k,q,c,u,f,n,b,e,h,a,p,s,p,t,EOS,,,,,
BOS,d,i,n,m,o,l,q,c,u,f,n,b,g,j,r,h,a,p,t,s,EOS
BOS,d,k,q,c,u,s,f,n,b,e,h,a,s,p,t,EOS,,,,,
BOS,b,d,k,q,c,u,f,n,b,g,j,r,h,a,p,s,t,EOS,,,
c,BOS,d,i,m,l,o,q,c,u,f,n,b,e,h,a,p,s,t,EOS,,
BOS,d,k,EOS,q,c,u,f,n,b,r,g,j,h,a,s,p,t,EOS,,,
BOS,t,d,i,m,o,l,q,c,u,f,n,b,g,j,r,h,a,p,s,t,EOS
