0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
c,l,g,h,q,m,o,e,m,o,e,f,a,d,m,k,,
c,l,g,h,f,m,a,d,k,q,,,,,,,,
c,q,g,m,h,l,a,d,k,f,,,,,,,,
c,l,g,m,m,o,q,e,m,o,e,o,e,h,a,d,f,k
d,p,n,b,a,i,f,k,,,,,,,,,,
c,l,g,h,m,q,e,o,m,a,d,f,k,,,,,
c,l,g,h,m,o,q,e,m,o,k,m,o,e,e,a,d,f
c,l,k,m,h,o,e,q,m,a,d,f,g,,,,,
i,j,a,b,n,d,k,f,,,,,,,,,,
c,l,g,m,e,o,q,h,m,a,d,k,f,,,,,
c,l,g,m,h,o,f,e,m,a,d,q,k,,,,,
i,p,n,b,a,d,k,f,,,,,,,,,,
c,l,g,h,f,o,q,e,m,o,e,m,o,e,m,a,d,k
k,l,g,h,q,m,a,d,f,c,,,,,,,,
c,l,g,h,m,a,q,d,k,f,,,,,,,,
c,l,g,h,m,o,e,m,o,f,q,m,o,e,e,a,d,k
c,l,g,m,h,o,q,o,m,e,e,m,a,d,f,k,,
c,l,g,h,m,o,q,e,m,k,d,f,a,,,,,
c,l,m,m,h,q,o,e,m,o,e,g,a,d,k,f,,
i,p,a,b,n,d,f,k,,,,,,,,,,
a,p,b,n,i,d,f,k,,,,,,,,,,
c,l,g,m,f,q,a,d,k,h,,,,,,,,
i,p,n,b,a,f,d,k,,,,,,,,,,
f,j,n,b,a,d,k,i,,,,,,,,,,
p,i,n,b,a,d,k,f,,,,,,,,,,
c,g,l,h,q,m,a,d,k,f,,,,,,,,
c,l,g,h,q,m,k,d,a,f,,,,,,,,
c,l,o,m,o,h,q,e,m,o,e,m,g,e,a,d,k,f
p,i,n,b,a,d,k,f,,,,,,,,,,
c,l,g,m,o,h,e,q,m,o,e,a,m,d,k,f,,
d,j,b,n,a,i,f,k,,,,,,,,,,
c,l,g,m,f,h,e,q,m,a,d,k,o,,,,,
c,l,g,m,h,o,f,e,m,a,d,q,k,,,,,
c,l,g,m,o,h,e,a,q,m,d,f,k,,,,,
d,p,n,b,a,i,k,f,,,,,,,,,,
i,p,n,b,a,d,f,k,,,,,,,,,,
i,j,n,a,b,d,f,k,,,,,,,,,,
