0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
c,l,g,h,q,m,o,e,m,o,e,m,a,d,l,f,k,,
c,l,g,h,q,m,a,d,k,i,f,,,,,,,,
c,l,g,m,h,q,a,p,d,k,f,,,,,,,,
c,l,g,m,h,o,q,e,m,o,e,m,o,e,n,a,d,f,k
i,e,p,n,b,a,d,f,k,,,,,,,,,,
c,l,g,h,m,o,e,q,m,a,d,f,q,k,,,,,
c,l,g,h,m,o,q,e,m,o,e,m,o,e,a,d,k,f,
c,l,g,m,h,o,e,q,m,a,d,p,f,k,,,,,
i,p,j,n,b,a,d,k,f,,,,,,,,,,
c,l,g,m,h,o,q,e,m,a,d,k,f,f,,,,,
c,l,g,m,h,j,o,q,e,m,a,d,f,k,,,,,
i,p,n,b,k,a,d,f,k,,,,,,,,,,
c,l,g,h,m,o,q,e,m,o,e,m,o,e,c,a,d,f,k
c,l,g,h,q,m,a,c,d,f,k,,,,,,,,
c,l,g,h,m,b,q,a,d,k,f,,,,,,,,
c,l,g,k,h,m,o,e,m,o,e,q,m,o,e,a,d,k,f
c,l,g,m,h,o,q,e,m,o,e,a,m,a,d,f,k,,
c,l,g,h,m,o,q,e,m,a,d,f,f,k,,,,,
c,l,g,m,h,q,o,e,m,o,o,e,m,a,d,k,f,,
i,g,p,n,b,a,d,f,k,,,,,,,,,,
i,p,b,k,n,a,d,f,k,,,,,,,,,,
c,l,g,m,h,l,q,a,d,k,f,,,,,,,,
i,p,n,b,a,d,i,f,k,,,,,,,,,,
i,j,n,i,b,a,d,k,f,,,,,,,,,,
i,h,p,n,b,a,d,k,f,,,,,,,,,,
c,l,g,h,q,m,q,a,d,k,f,,,,,,,,
c,l,g,h,q,p,m,a,d,k,f,,,,,,,,
c,l,g,m,o,h,q,e,m,i,o,e,m,o,e,a,d,k,f
i,p,k,n,b,a,d,k,f,,,,,,,,,,
c,l,g,m,o,h,e,q,m,o,e,m,a,d,d,k,f,,
i,j,b,n,f,a,d,f,k,,,,,,,,,,
c,l,g,m,o,q,h,e,q,m,a,d,k,f,,,,,
o,c,l,g,m,h,o,q,e,m,a,d,f,k,,,,,
c,l,g,m,o,h,e,m,q,q,a,d,f,k,,,,,
