0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
c,l,m,h,q,m,o,e,m,o,e,g,a,d,f,k,,
c,l,g,h,q,m,k,d,a,f,,,,,,,,
c,l,g,m,h,q,k,d,a,f,,,,,,,,
c,l,g,m,h,o,q,e,o,o,e,m,m,e,a,d,f,k
i,p,n,b,d,a,f,k,,,,,,,,,,
c,l,g,h,m,a,e,q,m,o,d,f,k,,,,,
c,l,g,h,m,o,q,e,m,o,e,a,o,e,m,d,k,f
c,l,g,m,h,q,e,o,m,a,d,f,k,,,,,
i,j,k,b,a,d,n,f,,,,,,,,,,
c,l,g,m,h,o,d,e,m,a,q,k,f,,,,,
c,l,g,o,h,m,q,e,m,a,d,f,k,,,,,
i,p,n,f,a,d,b,k,,,,,,,,,,
c,l,g,h,m,o,q,e,m,o,a,m,o,e,e,d,f,k
k,l,g,h,q,m,a,d,f,c,,,,,,,,
c,l,g,h,m,q,k,d,a,f,,,,,,,,
c,h,g,l,m,o,e,m,o,e,q,m,o,e,a,d,k,f
c,l,g,m,q,o,h,e,m,o,e,m,a,d,f,k,,
c,q,g,h,m,o,l,e,m,a,d,f,k,,,,,
c,l,g,m,h,q,d,e,m,o,e,m,a,o,k,f,,
i,p,n,b,a,f,d,k,,,,,,,,,,
i,p,b,n,a,k,f,d,,,,,,,,,,
c,l,g,a,h,q,m,d,k,f,,,,,,,,
i,p,n,a,b,d,f,k,,,,,,,,,,
i,j,d,b,a,n,k,f,,,,,,,,,,
a,p,n,b,i,d,k,f,,,,,,,,,,
l,c,g,h,q,m,a,d,k,f,,,,,,,,
c,h,g,l,q,m,a,d,k,f,,,,,,,,
c,l,g,m,o,h,q,e,m,o,f,m,o,e,e,a,d,k
d,p,n,b,a,i,k,f,,,,,,,,,,
c,e,g,m,o,h,e,q,m,o,l,m,a,d,k,f,,
k,j,b,n,a,d,f,i,,,,,,,,,,
m,l,g,c,o,h,e,q,m,a,d,k,f,,,,,
m,l,g,m,h,o,q,e,c,a,d,f,k,,,,,
c,l,g,m,e,h,o,m,q,a,d,f,k,,,,,
k,p,n,b,a,d,i,f,,,,,,,,,,
i,p,n,b,d,a,k,f,,,,,,,,,,
i,j,n,d,a,b,f,k,,,,,,,,,,
c,l,g,h,m,o,q,e,m,f,e,m,o,e,a,d,k,o
c,h,g,l,q,m,a,d,k,f,,,,,,,,
i,p,b,f,a,d,n,k,,,,,,,,,,
c,l,g,h,q,m,o,e,m,k,e,m,a,d,f,o,,
c,l,g,m,o,d,h,q,m,o,e,m,o,e,a,e,k,f
c,l,g,h,m,o,q,e,m,a,d,k,f,,,,,
c,l,m,h,q,m,o,e,m,o,e,g,o,e,a,d,f,k
i,j,d,b,a,n,f,k,,,,,,,,,,
c,l,g,h,m,o,a,q,m,e,d,k,f,,,,,
c,l,g,m,h,e,q,o,m,a,d,f,k,,,,,
c,l,g,m,q,h,o,e,m,a,d,k,f,,,,,
i,n,b,p,a,d,k,f,,,,,,,,,,
c,l,g,h,q,m,o,e,m,o,k,m,a,d,f,e,,
d,p,b,n,a,i,k,f,,,,,,,,,,
c,m,g,m,o,e,m,h,q,o,e,o,e,l,a,d,f,k
c,l,g,m,h,o,e,q,m,a,d,k,f,,,,,
i,d,n,b,a,p,k,f,,,,,,,,,,
q,l,g,h,c,m,o,e,m,a,d,f,k,,,,,
i,j,b,k,a,d,n,f,,,,,,,,,,
i,p,b,n,a,d,k,f,,,,,,,,,,
