0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
c,e,g,h,q,m,o,l,m,o,e,m,a,d,f,k,,
c,l,g,d,q,m,a,h,k,f,,,,,,,,
c,l,g,h,m,q,a,d,k,f,,,,,,,,
c,l,g,m,o,h,q,e,m,o,e,m,o,e,a,d,f,k
i,p,n,b,a,d,k,f,,,,,,,,,,
c,l,g,h,m,o,e,q,f,a,d,m,k,,,,,
c,l,g,h,m,o,q,e,m,o,e,m,o,e,d,a,k,f
c,l,g,m,h,e,o,q,m,a,d,f,k,,,,,
i,j,d,b,a,n,k,f,,,,,,,,,,
c,l,g,q,h,o,m,e,m,a,d,k,f,,,,,
c,f,g,m,h,o,q,e,m,a,d,l,k,,,,,
b,p,n,i,a,d,f,k,,,,,,,,,,
c,l,g,h,m,o,k,e,m,o,e,m,o,e,a,d,f,q
k,l,g,h,q,m,a,d,f,c,,,,,,,,
c,l,d,h,m,q,a,g,k,f,,,,,,,,
c,l,g,h,m,o,e,o,o,e,q,m,m,e,a,d,k,f
c,l,g,m,m,o,q,e,h,o,e,m,a,d,f,k,,
c,l,e,h,m,o,q,g,m,a,d,f,k,,,,,
c,d,g,m,h,q,o,e,m,o,e,m,a,l,k,f,,
i,d,n,b,a,p,f,k,,,,,,,,,,
i,p,b,n,k,d,f,a,,,,,,,,,,
c,l,g,k,h,q,a,d,m,f,,,,,,,,
i,p,n,b,a,k,f,d,,,,,,,,,,
i,b,n,j,a,d,k,f,,,,,,,,,,
i,p,d,b,a,n,k,f,,,,,,,,,,
l,c,g,h,q,m,a,d,k,f,,,,,,,,
q,l,g,h,c,m,a,d,k,f,,,,,,,,
c,l,g,m,o,h,q,e,m,o,e,m,e,o,a,d,k,f
i,p,n,f,a,d,k,b,,,,,,,,,,
c,l,g,m,o,h,e,q,m,o,e,m,f,d,k,a,,
i,j,f,n,a,d,b,k,,,,,,,,,,
c,l,g,m,o,m,e,q,h,a,d,k,f,,,,,
c,l,g,m,h,o,q,e,m,d,a,f,k,,,,,
c,h,g,m,o,l,e,m,q,a,d,f,k,,,,,
n,p,i,b,a,d,k,f,,,,,,,,,,
p,i,n,b,a,d,k,f,,,,,,,,,,
i,d,n,b,a,j,f,k,,,,,,,,,,
c,l,g,h,k,o,q,e,m,o,e,m,o,e,m,a,d,f
c,l,g,h,q,f,a,d,k,m,,,,,,,,
i,n,b,p,a,d,f,k,,,,,,,,,,
c,l,m,h,q,g,o,e,m,o,e,m,a,d,f,k,,
c,l,g,m,o,e,h,q,m,o,o,m,e,e,a,d,k,f
c,l,g,o,m,q,h,e,m,a,d,k,f,,,,,
c,l,g,h,q,m,o,e,m,o,e,m,e,o,a,d,f,k
f,j,n,b,a,d,i,k,,,,,,,,,,
c,l,m,h,m,o,e,q,g,a,d,k,f,,,,,
c,l,g,h,m,o,q,e,m,a,d,f,k,,,,,
c,l,g,e,q,m,o,h,m,a,d,k,f,,,,,
i,p,b,n,a,f,k,d,,,,,,,,,,
c,l,g,h,q,a,o,e,m,o,e,m,m,d,f,k,,
i,f,b,n,a,d,k,p,,,,,,,,,,
m,l,g,m,o,e,m,h,q,o,e,o,e,c,a,d,f,k
c,l,f,m,h,o,e,m,q,a,d,k,g,,,,,
i,a,n,b,p,d,k,f,,,,,,,,,,
c,l,g,f,q,m,o,e,m,a,d,h,k,,,,,
n,j,b,i,a,d,k,f,,,,,,,,,,
i,p,b,d,a,n,f,k,,,,,,,,,,
i,p,f,n,a,d,b,k,,,,,,,,,,
i,p,a,n,b,d,k,f,,,,,,,,,,
i,j,b,n,k,d,f,a,,,,,,,,,,
c,l,g,h,m,o,k,q,m,a,d,e,f,,,,,
c,h,g,l,m,q,a,d,k,f,,,,,,,,
c,g,l,m,h,q,o,e,m,o,e,m,a,d,k,f,,
i,d,n,b,a,p,f,k,,,,,,,,,,
a,p,n,b,i,d,k,f,,,,,,,,,,
i,j,n,k,a,d,f,b,,,,,,,,,,
c,l,g,m,o,e,m,o,a,h,q,m,e,d,f,k,,
c,f,g,h,m,o,q,e,m,a,d,l,k,,,,,
d,j,n,b,a,i,k,f,,,,,,,,,,
c,m,g,h,m,o,e,l,o,e,q,m,o,e,a,d,k,f
i,j,b,n,a,k,f,d,,,,,,,,,,
c,l,o,h,m,g,e,q,m,a,d,f,k,,,,,
c,l,g,m,o,e,m,o,e,m,d,h,q,e,a,o,k,f
i,n,b,p,a,d,k,f,,,,,,,,,,
i,p,b,d,a,n,f,k,,,,,,,,,,
i,p,k,n,a,d,b,f,,,,,,,,,,
j,i,b,n,a,d,f,k,,,,,,,,,,
m,l,g,h,q,c,o,e,m,a,d,k,f,,,,,
c,l,g,k,m,q,a,d,f,h,,,,,,,,
b,p,i,n,a,d,f,k,,,,,,,,,,
i,j,b,f,a,d,k,n,,,,,,,,,,
i,p,n,b,a,d,k,f,,,,,,,,,,
c,l,g,h,m,o,e,q,o,e,m,m,a,d,k,f,,
m,l,g,h,c,o,e,q,m,o,e,m,o,e,a,d,k,f
c,l,g,h,q,m,o,e,m,k,e,m,a,d,o,f,,
i,p,n,f,a,d,b,k,,,,,,,,,,
n,j,i,b,a,d,k,f,,,,,,,,,,
b,j,n,i,a,d,k,f,,,,,,,,,,
f,j,n,b,a,d,k,i,,,,,,,,,,
n,j,b,i,a,d,k,f,,,,,,,,,,
i,j,b,d,a,n,f,k,,,,,,,,,,
a,p,n,b,i,d,k,f,,,,,,,,,,
c,l,h,m,g,q,o,e,m,o,e,m,a,d,k,f,,
j,i,n,b,a,d,k,f,,,,,,,,,,
c,g,l,m,o,h,q,e,m,o,e,m,o,e,a,d,k,f
i,p,b,n,a,d,f,k,,,,,,,,,,
i,j,n,b,a,f,d,k,,,,,,,,,,
i,p,b,n,d,a,k,f,,,,,,,,,,
c,l,g,h,q,m,k,d,f,a,,,,,,,,
c,l,g,m,m,o,e,m,o,q,e,o,e,h,a,d,f,k
p,i,n,b,a,d,k,f,,,,,,,,,,
c,l,g,m,o,o,h,m,e,e,q,m,a,d,k,f,,
c,l,h,g,m,o,e,q,m,o,e,m,o,e,a,d,k,f
c,l,g,h,m,o,q,e,m,a,d,f,k,,,,,
c,l,g,h,m,o,q,e,m,o,e,m,f,d,a,k,,
a,p,n,b,i,d,f,k,,,,,,,,,,
c,l,q,h,m,o,g,e,m,a,d,k,f,,,,,
i,p,k,n,a,d,f,b,,,,,,,,,,
