0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
h,c,i,a,k,s,o,t,s,BOS,u,EOS,,,,,,
BOS,d,e,g,q,d,e,m,q,d,m,b,n,f,EOS,,,
BOS,e,d,m,q,d,p,g,n,f,EOS,,,,,,,
BOS,d,f,g,n,p,EOS,,,,,,,,,,,
BOS,d,e,m,q,d,n,g,b,f,EOS,,,,,,,
BOS,m,e,d,q,d,e,m,q,d,e,m,q,p,g,n,f,EOS
BOS,t,i,a,k,s,o,c,s,o,t,s,h,u,EOS,,,
s,c,r,a,k,s,o,t,BOS,h,u,EOS,,,,,,
BOS,d,e,m,d,q,p,g,n,f,EOS,,,,,,,
BOS,d,q,m,e,d,g,p,n,f,EOS,,,,,,,
BOS,d,e,m,q,d,e,m,q,d,e,m,q,p,g,f,n,EOS
i,c,BOS,a,k,s,h,u,EOS,,,,,,,,,
BOS,d,e,m,q,d,e,m,q,d,e,m,q,g,n,f,b,EOS
BOS,c,j,a,l,k,s,h,u,EOS,,,,,,,,
u,c,r,a,k,s,h,BOS,EOS,,,,,,,,,
g,d,e,m,q,d,b,BOS,n,f,EOS,,,,,,,
a,c,i,BOS,k,s,o,t,s,h,u,EOS,,,,,,
BOS,c,a,r,k,s,o,t,s,o,t,s,h,u,EOS,,,
BOS,d,e,m,q,d,e,m,q,d,q,m,e,b,g,n,f,EOS
c,BOS,j,l,a,k,s,o,t,s,h,u,EOS,,,,,
BOS,d,e,m,q,d,g,EOS,n,f,p,,,,,,,
BOS,c,i,a,h,s,k,u,EOS,,,,,,,,,
BOS,g,d,b,n,f,EOS,,,,,,,,,,,
BOS,d,e,m,q,EOS,b,g,n,f,d,,,,,,,
BOS,d,n,m,q,d,e,m,q,d,g,e,p,f,EOS,,,
BOS,d,e,q,q,d,e,m,m,d,e,m,q,b,g,n,f,EOS
k,c,i,a,BOS,s,o,t,s,h,u,EOS,,,,,,
BOS,c,r,a,k,s,EOS,u,h,,,,,,,,,
g,d,BOS,b,n,f,EOS,,,,,,,,,,,
