0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
BOS,c,a,k,s,o,t,s,h,u,EOS,,,,,,,
d,e,m,q,d,e,m,q,d,g,b,n,f,EOS,,,,
BOS,d,e,m,q,d,g,n,f,EOS,,,,,,,,
BOS,d,g,n,f,EOS,,,,,,,,,,,,
BOS,d,e,m,q,d,b,g,n,f,,,,,,,,
BOS,d,e,m,q,d,e,m,q,d,e,m,q,p,g,n,f,EOS
BOS,c,a,k,s,o,t,s,o,t,s,h,u,EOS,,,,
BOS,c,r,a,s,o,t,s,h,u,EOS,,,,,,,
BOS,d,m,q,d,p,g,n,f,EOS,,,,,,,,
BOS,d,e,m,q,d,g,p,n,f,,,,,,,,
d,e,m,q,d,e,m,q,d,e,m,q,p,g,n,f,EOS,
c,i,a,k,s,h,u,EOS,,,,,,,,,,
BOS,d,e,m,q,d,e,q,d,e,m,q,m,g,n,f,b,EOS
BOS,j,l,a,k,s,h,u,EOS,,,,,,,,,
BOS,c,r,a,k,h,u,EOS,,,,,,,,,,
BOS,d,e,m,q,b,g,n,f,EOS,,,,,,,,
BOS,c,i,a,k,s,o,t,s,u,EOS,,,,,,,
c,r,a,k,s,o,t,s,o,t,s,h,u,EOS,,,,
BOS,d,e,m,q,d,e,m,d,e,m,q,q,b,g,n,f,EOS
BOS,c,j,l,k,s,o,t,s,h,u,EOS,,,,,,
BOS,d,e,m,q,d,g,n,f,EOS,,,,,,,,
BOS,c,a,k,s,h,u,EOS,,,,,,,,,,
BOS,d,g,b,n,f,,,,,,,,,,,,
BOS,d,e,m,q,b,g,n,f,EOS,,,,,,,,
BOS,d,e,m,q,d,e,m,d,g,n,p,f,EOS,,,,
BOS,d,e,m,q,d,e,m,q,d,e,m,q,b,g,n,f,EOS
BOS,c,i,k,s,o,t,s,h,u,EOS,,,,,,,
BOS,c,r,a,s,h,u,EOS,,,,,,,,,,
BOS,d,g,b,n,f,,,,,,,,,,,,
BOS,c,l,j,a,k,s,t,s,o,t,s,h,u,EOS,,,
BOS,d,e,m,q,d,e,m,q,d,p,n,f,EOS,,,,
BOS,p,g,n,f,EOS,,,,,,,,,,,,
BOS,d,b,g,f,EOS,,,,,,,,,,,,
BOS,d,g,p,f,EOS,,,,,,,,,,,,
c,r,a,k,s,h,u,EOS,,,,,,,,,,
BOS,c,r,a,k,s,o,s,o,t,s,h,u,EOS,,,,
BOS,d,e,m,q,d,e,m,q,d,m,q,e,p,g,n,f,EOS
BOS,c,l,a,k,s,h,u,EOS,,,,,,,,,
d,e,m,q,d,b,g,n,f,EOS,,,,,,,,
BOS,d,e,q,d,b,g,n,f,EOS,,,,,,,,
BOS,d,b,g,f,EOS,,,,,,,,,,,,
BOS,d,g,n,f,EOS,,,,,,,,,,,,
BOS,c,j,a,k,s,o,t,s,h,u,EOS,,,,,,
BOS,c,i,a,k,s,o,t,h,u,EOS,,,,,,,
BOS,c,i,a,k,s,u,EOS,,,,,,,,,,
BOS,c,r,a,k,s,o,t,s,o,t,s,o,t,h,u,EOS,
BOS,c,i,a,k,o,t,s,h,u,EOS,,,,,,,
d,p,g,n,f,EOS,,,,,,,,,,,,
BOS,d,e,m,q,d,g,p,f,EOS,,,,,,,,
BOS,d,b,g,n,EOS,,,,,,,,,,,,
BOS,c,l,j,a,s,h,u,EOS,,,,,,,,,
BOS,c,i,a,k,s,u,EOS,,,,,,,,,,
BOS,d,p,g,n,EOS,,,,,,,,,,,,
BOS,e,m,q,d,g,p,n,f,EOS,,,,,,,,
BOS,d,e,m,q,e,m,q,d,e,m,q,d,g,p,n,f,EOS
BOS,d,e,m,q,b,g,n,f,EOS,,,,,,,,
BOS,c,r,a,k,h,u,EOS,,,,,,,,,,
BOS,c,l,j,a,k,s,o,t,s,u,EOS,,,,,,
BOS,d,e,m,q,d,b,n,f,EOS,,,,,,,,
BOS,c,l,a,k,s,o,t,s,o,t,s,o,t,h,u,EOS,
BOS,c,r,a,k,s,o,t,o,t,s,o,t,s,h,u,EOS,
BOS,c,r,a,k,s,o,t,s,u,EOS,,,,,,,
BOS,c,r,a,k,o,t,s,h,u,EOS,,,,,,,
BOS,c,j,a,k,s,h,u,EOS,,,,,,,,,
BOS,c,j,l,a,k,s,o,t,s,o,t,s,u,EOS,,,
BOS,c,l,j,a,k,s,o,t,s,o,t,s,o,t,h,u,EOS
BOS,d,g,n,f,EOS,,,,,,,,,,,,
BOS,d,e,m,q,d,p,n,f,EOS,,,,,,,,
BOS,c,l,j,a,k,s,o,s,o,t,s,h,u,EOS,,,
d,p,g,n,f,EOS,,,,,,,,,,,,
BOS,d,e,m,d,p,g,n,f,EOS,,,,,,,,
d,g,p,n,f,EOS,,,,,,,,,,,,
BOS,c,l,j,a,k,s,u,EOS,,,,,,,,,
BOS,c,l,j,a,k,o,t,s,o,t,s,h,u,EOS,,,
BOS,d,g,n,f,EOS,,,,,,,,,,,,
BOS,c,a,k,s,h,u,EOS,,,,,,,,,,
BOS,d,b,g,f,EOS,,,,,,,,,,,,
BOS,c,r,a,s,o,t,s,h,u,EOS,,,,,,,
BOS,c,j,a,k,s,o,t,s,h,u,EOS,,,,,,
