0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
BOS,c,i,a,k,s,o,t,s,h,u,EOS,,,,,,
BOS,d,e,m,q,d,e,m,q,d,g,b,n,f,EOS,,,
BOS,d,e,m,q,d,p,g,n,f,EOS,,,,,,,
BOS,d,p,g,n,f,EOS,,,,,,,,,,,
BOS,d,e,m,q,d,b,g,n,f,EOS,,,,,,,
BOS,d,e,m,q,d,e,m,q,d,e,m,q,p,g,n,f,EOS
BOS,c,i,a,k,s,o,t,s,o,t,s,h,u,EOS,,,
BOS,c,r,a,k,s,o,t,s,h,u,EOS,,,,,,
BOS,d,e,m,q,d,p,g,n,f,EOS,,,,,,,
BOS,d,e,m,q,d,g,p,n,f,EOS,,,,,,,
BOS,d,e,m,q,d,e,m,q,d,e,m,q,p,g,n,f,EOS
BOS,c,i,a,k,s,h,u,EOS,,,,,,,,,
BOS,d,e,m,q,d,e,m,q,d,e,m,q,g,n,f,b,EOS
BOS,c,j,l,a,k,s,h,u,EOS,,,,,,,,
BOS,c,r,a,k,s,h,u,EOS,,,,,,,,,
BOS,d,e,m,q,d,b,g,n,f,EOS,,,,,,,
BOS,c,i,a,k,s,o,t,s,h,u,EOS,,,,,,
BOS,c,r,a,k,s,o,t,s,o,t,s,h,u,EOS,,,
BOS,d,e,m,q,d,e,m,q,d,e,m,q,b,g,n,f,EOS
BOS,c,j,l,a,k,s,o,t,s,h,u,EOS,,,,,
BOS,d,e,m,q,d,g,p,n,f,EOS,,,,,,,
BOS,c,i,a,k,s,h,u,EOS,,,,,,,,,
BOS,d,g,b,n,f,EOS,,,,,,,,,,,
BOS,d,e,m,q,d,b,g,n,f,EOS,,,,,,,
BOS,d,e,m,q,d,e,m,q,d,g,n,p,f,EOS,,,
BOS,d,e,m,q,d,e,m,q,d,e,m,q,b,g,n,f,EOS
BOS,c,i,a,k,s,o,t,s,h,u,EOS,,,,,,
BOS,c,r,a,k,s,h,u,EOS,,,,,,,,,
BOS,d,g,b,n,f,EOS,,,,,,,,,,,
BOS,c,l,j,a,k,s,o,t,s,o,t,s,h,u,EOS,,
BOS,d,e,m,q,d,e,m,q,d,p,g,n,f,EOS,,,
BOS,d,p,g,n,f,EOS,,,,,,,,,,,
BOS,d,b,g,n,f,EOS,,,,,,,,,,,
BOS,d,g,n,p,f,EOS,,,,,,,,,,,
BOS,c,r,a,k,s,h,u,EOS,,,,,,,,,
BOS,c,r,a,k,s,o,t,s,o,t,s,h,u,EOS,,,
BOS,d,e,m,q,d,e,m,q,d,e,m,q,p,g,n,f,EOS
BOS,c,j,l,a,k,s,h,u,EOS,,,,,,,,
BOS,d,e,m,q,d,b,g,n,f,EOS,,,,,,,
BOS,d,e,m,q,d,b,g,n,f,EOS,,,,,,,
BOS,d,b,g,n,f,EOS,,,,,,,,,,,
BOS,d,g,b,n,f,EOS,,,,,,,,,,,
BOS,c,l,j,a,k,s,o,t,s,h,u,EOS,,,,,
BOS,c,i,a,k,s,o,t,s,h,u,EOS,,,,,,
BOS,c,i,a,k,s,h,u,EOS,,,,,,,,,
BOS,c,r,a,k,s,o,t,s,o,t,s,o,t,h,u,EOS,
BOS,c,i,a,k,s,o,t,s,h,u,EOS,,,,,,
BOS,d,p,g,n,f,EOS,,,,,,,,,,,
BOS,d,e,m,q,d,g,n,p,f,EOS,,,,,,,
BOS,d,b,g,n,f,EOS,,,,,,,,,,,
BOS,c,l,j,a,k,s,h,u,EOS,,,,,,,,
BOS,c,i,a,k,s,h,u,EOS,,,,,,,,,
BOS,d,p,g,n,f,EOS,,,,,,,,,,,
BOS,d,e,m,q,d,g,p,n,f,EOS,,,,,,,
BOS,d,e,m,q,d,e,m,q,d,e,m,q,g,p,n,f,EOS
BOS,d,e,m,q,d,b,g,n,f,EOS,,,,,,,
BOS,c,r,a,k,s,h,u,EOS,,,,,,,,,
BOS,c,l,j,a,k,s,o,t,s,h,u,EOS,,,,,
BOS,d,e,m,q,d,b,g,n,f,EOS,,,,,,,
BOS,c,j,l,a,k,s,o,t,s,o,t,s,o,t,h,u,EOS
BOS,c,r,a,k,s,o,t,s,o,t,s,o,t,h,u,EOS,
BOS,c,r,a,k,s,o,t,s,h,u,EOS,,,,,,
BOS,c,r,a,k,s,o,t,s,h,u,EOS,,,,,,
BOS,c,l,j,a,k,s,h,u,EOS,,,,,,,,
BOS,c,j,l,a,k,s,o,t,s,o,t,s,h,u,EOS,,
BOS,c,l,j,a,k,s,o,t,s,o,t,s,o,t,h,u,EOS
BOS,d,g,p,n,f,EOS,,,,,,,,,,,
BOS,d,e,m,q,d,p,g,n,f,EOS,,,,,,,
BOS,c,l,j,a,k,s,o,t,s,o,t,s,h,u,EOS,,
BOS,d,p,g,n,f,EOS,,,,,,,,,,,
BOS,d,e,m,q,d,p,g,n,f,EOS,,,,,,,
BOS,d,g,p,n,f,EOS,,,,,,,,,,,
BOS,c,l,j,a,k,s,h,u,EOS,,,,,,,,
