0,1,2,3,4,5,6,7,8,9
i,k,e,o,l,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
i,k,o,l,e,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
i,k,o,l,e,a,o,,,
c,m,b,,,,,,,
e,k,i,l,o,,,,,
d,,,,,,,,,
g,q,p,f,n,h,m,c,,
c,m,b,,,,,,,
d,,,,,,,,,
i,k,e,o,o,a,o,a,l,
d,,,,,,,,,
i,o,e,l,k,,,,,
m,b,c,,,,,,,
g,h,q,p,n,f,m,c,,
i,o,e,l,k,,,,,
g,p,h,q,j,f,m,c,,
i,k,o,l,e,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
k,i,e,l,o,,,,,
m,b,c,,,,,,,
g,n,q,p,h,f,m,c,,
d,,,,,,,,,
g,q,p,h,n,f,c,m,,
d,,,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
a,k,e,l,o,i,o,,,
i,k,e,o,l,,,,,
i,k,e,a,o,l,o,a,o,a
b,c,m,,,,,,,
c,m,b,,,,,,,
i,k,o,l,e,,,,,
e,k,i,l,o,,,,,
d,,,,,,,,,
g,h,p,q,f,n,m,c,,
i,e,k,l,o,a,o,,,
d,,,,,,,,,
i,l,e,k,o,,,,,
b,c,m,,,,,,,
m,b,c,,,,,,,
g,c,p,h,n,f,m,q,,
g,c,q,h,f,j,m,p,,
i,l,e,k,o,,,,,
g,h,p,q,c,f,m,n,,
i,k,e,o,l,a,o,a,o,
i,k,l,e,o,,,,,
d,,,,,,,,,
n,q,h,p,f,g,m,c,,
d,,,,,,,,,
i,k,e,l,o,a,a,a,o,o
g,h,q,p,f,j,c,m,,
d,,,,,,,,,
g,p,q,h,f,n,m,c,,
d,,,,,,,,,
i,k,e,l,a,o,o,,,
q,h,g,p,n,f,m,c,,
b,c,m,,,,,,,
b,c,m,,,,,,,
g,p,m,h,f,j,q,c,,
d,,,,,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
c,m,b,,,,,,,
m,b,c,,,,,,,
i,k,e,o,l,,,,,
g,c,h,q,n,f,m,p,,
m,b,c,,,,,,,
i,k,o,l,e,a,o,,,
g,q,m,p,n,f,h,c,,
i,k,l,e,o,,,,,
d,,,,,,,,,
i,k,o,l,e,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
b,c,m,,,,,,,
p,q,g,h,j,f,m,c,,
d,,,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
i,k,e,l,o,a,o,a,o,a
b,c,m,,,,,,,
j,q,h,p,g,f,m,c,,
e,k,i,l,o,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
m,b,c,,,,,,,
b,c,m,,,,,,,
g,p,h,q,c,f,m,j,,
c,h,p,q,f,n,m,g,,
d,,,,,,,,,
k,i,e,l,o,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
i,k,e,l,o,a,o,a,o,a
c,h,q,p,n,f,m,g,,
d,,,,,,,,,
m,b,c,,,,,,,
l,k,e,i,o,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
i,k,e,o,l,a,o,,,
i,k,e,a,o,a,o,a,o,l
m,b,c,,,,,,,
c,m,b,,,,,,,
m,b,c,,,,,,,
c,m,b,,,,,,,
i,k,e,l,o,o,a,,,
d,,,,,,,,,
i,a,e,l,o,a,o,k,o,
m,b,c,,,,,,,
g,f,q,p,j,h,m,c,,
g,h,q,p,m,f,n,c,,
g,q,h,f,p,j,m,c,,
q,p,h,g,f,n,m,c,,
a,k,e,l,o,i,o,,,
g,c,h,q,n,f,m,p,,
d,,,,,,,,,
k,i,e,l,o,a,o,,,
i,k,o,l,o,a,e,,,
o,k,e,l,o,a,i,,,
g,q,p,n,f,h,m,c,,
m,b,c,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
i,k,e,o,l,,,,,
i,k,e,l,o,a,o,a,o,
d,,,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
i,l,e,k,o,,,,,
i,k,o,l,e,,,,,
m,b,c,,,,,,,
i,k,e,o,o,a,o,a,l,a
g,q,h,m,n,f,p,c,,
b,c,m,,,,,,,
o,k,e,l,i,,,,,
d,,,,,,,,,
i,l,e,k,o,,,,,
i,o,e,l,k,,,,,
g,q,j,h,f,p,m,c,,
d,,,,,,,,,
g,q,f,h,n,p,m,c,,
i,k,e,a,o,a,o,a,o,l
d,,,,,,,,,
g,n,p,q,h,f,m,c,,
g,p,q,h,n,f,m,c,,
c,m,b,,,,,,,
g,q,p,c,f,j,m,h,,
d,,,,,,,,,
m,b,c,,,,,,,
g,h,q,p,n,f,m,c,,
i,e,k,l,o,,,,,
d,,,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
g,p,q,m,j,f,h,c,,
g,p,h,n,q,f,m,c,,
d,,,,,,,,,
i,e,k,l,o,a,o,a,o,
d,,,,,,,,,
c,m,b,,,,,,,
e,k,i,l,o,,,,,
d,,,,,,,,,
i,k,o,l,e,,,,,
e,k,i,l,o,,,,,
i,k,e,l,o,a,o,a,o,a
c,m,b,,,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
i,o,e,l,k,,,,,
d,,,,,,,,,
g,h,p,q,f,c,m,n,,
d,,,,,,,,,
i,k,a,l,o,e,o,a,o,a
d,,,,,,,,,
g,m,h,q,j,f,p,c,,
i,k,e,l,a,o,o,a,o,
g,q,h,j,p,f,m,c,,
g,q,p,h,f,j,m,c,,
g,p,q,c,n,f,m,h,,
o,k,e,l,o,a,i,a,o,
b,c,m,,,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
i,o,e,l,k,,,,,
g,h,m,p,n,f,q,c,,
i,k,e,l,o,a,o,o,a,a
c,m,b,,,,,,,
i,k,l,e,o,,,,,
g,q,p,h,n,f,m,c,,
d,,,,,,,,,
b,c,m,,,,,,,
l,k,e,i,o,,,,,
d,,,,,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
i,k,e,o,l,,,,,
o,k,e,l,o,a,o,a,i,
a,k,e,l,o,i,o,,,
c,q,p,h,n,f,m,g,,
d,,,,,,,,,
c,m,b,,,,,,,
e,k,i,l,o,a,o,a,o,
i,k,a,l,o,e,o,a,o,
g,q,h,p,f,m,n,c,,
g,j,h,p,f,q,m,c,,
i,o,e,l,k,,,,,
b,c,m,,,,,,,
m,b,c,,,,,,,
c,m,b,,,,,,,
i,o,e,l,o,a,o,a,k,
g,h,p,f,q,n,m,c,,
g,h,q,n,p,f,m,c,,
i,k,a,l,o,e,o,,,
g,h,m,p,n,f,q,c,,
d,,,,,,,,,
g,h,f,p,j,q,m,c,,
c,m,b,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
i,l,e,k,o,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
p,h,g,q,n,f,m,c,,
m,b,c,,,,,,,
l,k,e,i,o,a,o,,,
b,c,m,,,,,,,
m,b,c,,,,,,,
m,b,c,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
i,o,e,l,k,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
g,p,m,q,j,f,h,c,,
i,k,e,l,o,a,o,a,o,a
d,,,,,,,,,
d,,,,,,,,,
g,q,p,h,j,c,m,f,,
m,q,h,p,j,f,g,c,,
l,k,e,i,o,,,,,
d,,,,,,,,,
d,,,,,,,,,
i,k,o,l,e,a,o,,,
g,p,h,q,m,f,n,c,,
g,q,c,p,j,f,m,h,,
g,f,p,q,h,n,m,c,,
c,m,b,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
i,k,o,l,e,,,,,
g,q,m,p,n,f,h,c,,
c,m,b,,,,,,,
m,b,c,,,,,,,
m,b,c,,,,,,,
i,e,k,l,o,,,,,
g,h,q,f,j,p,m,c,,
g,q,m,h,f,j,p,c,,
g,h,p,q,f,n,m,c,,
m,b,c,,,,,,,
g,h,q,p,n,f,m,c,,
g,h,p,n,q,f,m,c,,
k,i,e,l,o,,,,,
d,,,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
i,k,e,l,a,o,o,a,o,
g,h,c,q,f,n,m,p,,
b,c,m,,,,,,,
b,c,m,,,,,,,
m,b,c,,,,,,,
g,p,q,n,h,f,m,c,,
d,,,,,,,,,
d,,,,,,,,,
e,k,i,l,o,a,o,a,o,
b,c,m,,,,,,,
m,b,c,,,,,,,
