0,1,2,3,4,5,6,7,8,9
k,i,e,l,o,,,,,
d,,,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
i,k,l,e,o,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
e,k,i,l,o,a,o,,,
c,m,b,,,,,,,
k,i,e,l,o,,,,,
d,,,,,,,,,
g,n,p,h,q,f,m,c,,
m,b,c,,,,,,,
d,,,,,,,,,
i,o,e,l,o,a,o,a,k,
d,,,,,,,,,
i,k,l,e,o,,,,,
b,c,m,,,,,,,
g,p,q,h,c,f,m,n,,
i,k,o,l,e,,,,,
g,p,h,q,f,j,c,m,,
i,o,e,l,k,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
e,k,i,l,o,,,,,
m,b,c,,,,,,,
g,p,q,h,n,f,m,c,,
d,,,,,,,,,
g,c,p,h,n,f,m,q,,
d,,,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
i,k,e,o,l,a,o,,,
e,k,i,l,o,,,,,
i,k,a,l,o,a,o,a,o,e
c,m,b,,,,,,,
b,c,m,,,,,,,
k,i,e,l,o,,,,,
l,k,e,i,o,,,,,
d,,,,,,,,,
g,h,p,q,m,f,n,c,,
a,k,e,l,o,i,o,,,
d,,,,,,,,,
i,o,e,l,k,,,,,
m,b,c,,,,,,,
m,b,c,,,,,,,
g,n,p,h,q,f,m,c,,
g,p,m,h,f,j,q,c,,
l,k,e,i,o,,,,,
h,g,p,q,n,f,m,c,,
i,k,e,a,o,l,o,a,o,
k,i,e,l,o,,,,,
d,,,,,,,,,
g,q,h,p,f,n,c,m,,
d,,,,,,,,,
i,k,e,l,o,o,o,a,a,a
g,q,h,p,f,j,m,c,,
d,,,,,,,,,
g,q,p,h,f,m,n,c,,
d,,,,,,,,,
i,k,e,o,o,a,l,,,
g,h,f,p,n,q,m,c,,
m,b,c,,,,,,,
b,c,m,,,,,,,
g,p,h,q,f,j,m,c,,
d,,,,,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
m,b,c,,,,,,,
c,m,b,,,,,,,
i,k,o,l,e,,,,,
q,p,h,g,n,f,m,c,,
b,c,m,,,,,,,
e,k,i,l,o,a,o,,,
g,q,m,p,n,f,h,c,,
i,e,k,l,o,,,,,
d,,,,,,,,,
i,e,k,l,o,,,,,
d,,,,,,,,,
m,b,c,,,,,,,
b,c,m,,,,,,,
g,q,p,h,j,m,f,c,,
d,,,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
i,k,e,l,o,a,o,a,o,a
b,c,m,,,,,,,
g,q,h,p,f,j,m,c,,
k,i,e,l,o,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
m,b,c,,,,,,,
b,c,m,,,,,,,
g,p,h,c,j,f,m,q,,
g,c,p,q,f,n,m,h,,
d,,,,,,,,,
o,k,e,l,i,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
i,k,e,l,o,a,o,a,o,a
g,h,f,p,n,q,m,c,,
d,,,,,,,,,
b,c,m,,,,,,,
i,l,e,k,o,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
k,i,e,l,o,a,o,,,
i,k,e,l,a,a,o,o,o,a
c,m,b,,,,,,,
m,b,c,,,,,,,
b,c,m,,,,,,,
b,c,m,,,,,,,
a,k,e,l,o,i,o,,,
d,,,,,,,,,
k,i,e,l,o,a,o,a,o,
m,b,c,,,,,,,
m,h,q,p,j,f,g,c,,
g,f,q,p,n,h,m,c,,
g,q,f,p,h,j,m,c,,
g,p,m,q,f,n,h,c,,
i,k,e,l,o,o,a,,,
g,f,h,q,n,p,m,c,,
d,,,,,,,,,
i,e,k,l,o,a,o,,,
l,k,e,i,o,a,o,,,
i,l,e,k,o,a,o,,,
g,f,p,h,q,n,m,c,,
b,c,m,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
i,o,e,l,k,,,,,
i,k,e,a,o,l,o,a,o,
d,,,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
i,l,e,k,o,,,,,
i,l,e,k,o,,,,,
b,c,m,,,,,,,
i,k,e,l,o,a,o,a,o,a
g,q,h,m,n,f,p,c,,
m,b,c,,,,,,,
o,k,e,l,i,,,,,
d,,,,,,,,,
i,k,o,l,e,,,,,
i,k,o,l,e,,,,,
c,q,p,h,f,j,m,g,,
d,,,,,,,,,
g,m,p,h,n,f,q,c,,
i,k,e,l,o,a,o,o,a,a
d,,,,,,,,,
g,f,p,q,n,h,m,c,,
g,h,q,m,n,f,p,c,,
c,m,b,,,,,,,
g,f,p,h,q,j,m,c,,
d,,,,,,,,,
m,b,c,,,,,,,
n,q,h,p,g,f,m,c,,
l,k,e,i,o,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
h,p,q,g,j,f,m,c,,
g,q,h,p,n,f,m,c,,
d,,,,,,,,,
o,k,e,l,o,a,i,a,o,
d,,,,,,,,,
c,m,b,,,,,,,
k,i,e,l,o,,,,,
d,,,,,,,,,
o,k,e,l,i,,,,,
i,l,e,k,o,,,,,
i,k,e,l,o,a,a,o,o,a
b,c,m,,,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
i,o,e,l,k,,,,,
d,,,,,,,,,
g,h,q,p,f,n,m,c,,
d,,,,,,,,,
i,k,e,l,o,a,a,o,o,a
d,,,,,,,,,
g,p,m,q,j,f,h,c,,
i,k,e,o,l,a,o,a,o,
h,q,g,p,j,f,m,c,,
g,c,p,q,f,j,m,h,,
g,p,f,h,n,q,m,c,,
i,k,e,l,o,a,o,a,o,
m,b,c,,,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
i,k,l,e,o,,,,,
g,h,n,p,q,f,m,c,,
i,k,e,a,o,a,o,l,o,a
m,b,c,,,,,,,
k,i,e,l,o,,,,,
g,q,h,c,n,f,m,p,,
d,,,,,,,,,
b,c,m,,,,,,,
i,l,e,k,o,,,,,
d,,,,,,,,,
d,,,,,,,,,
m,b,c,,,,,,,
e,k,i,l,o,,,,,
i,k,e,l,o,a,o,a,o,
i,k,e,l,o,o,a,,,
p,q,g,h,n,f,m,c,,
d,,,,,,,,,
m,b,c,,,,,,,
i,k,e,l,o,a,o,a,o,
i,k,e,l,o,a,o,a,o,
m,q,h,p,f,n,g,c,,
f,q,h,p,g,j,m,c,,
l,k,e,i,o,,,,,
b,c,m,,,,,,,
m,b,c,,,,,,,
m,b,c,,,,,,,
i,k,e,l,a,a,o,o,o,
p,h,g,q,f,n,m,c,,
g,h,q,f,n,p,m,c,,
i,k,l,e,o,a,o,,,
g,c,q,p,n,f,m,h,,
d,,,,,,,,,
f,h,q,p,j,g,m,c,,
c,m,b,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
i,k,l,e,o,,,,,
d,,,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
q,h,p,g,n,f,m,c,,
c,m,b,,,,,,,
i,k,e,o,l,a,o,,,
b,c,m,,,,,,,
c,m,b,,,,,,,
b,c,m,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
o,k,e,l,i,,,,,
