0,1,2,3,4,5,6,7,8,9
i,k,l,o,,,,,,
,,,,,,,,,
b,c,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
i,k,e,l,,,,,,
b,m,,,,,,,,
,,,,,,,,,
i,e,l,o,a,o,,,,
m,c,,,,,,,,
k,e,l,o,,,,,,
,,,,,,,,,
g,q,h,n,f,m,c,,,
b,c,,,,,,,,
,,,,,,,,,
i,k,l,o,a,o,a,o,,
,,,,,,,,,
k,e,l,o,,,,,,
b,m,,,,,,,,
g,p,q,h,n,m,c,,,
i,k,e,o,,,,,,
g,p,h,f,j,m,c,,,
i,e,l,o,,,,,,
,,,,,,,,,
b,m,,,,,,,,
,,,,,,,,,
i,k,l,o,,,,,,
b,c,,,,,,,,
g,h,q,p,n,m,c,,,
,,,,,,,,,
g,q,p,h,f,m,c,,,
,,,,,,,,,
b,c,,,,,,,,
,,,,,,,,,
,,,,,,,,,
b,c,,,,,,,,
i,k,e,l,o,a,,,,
k,e,l,o,,,,,,
i,k,e,l,o,a,o,a,a,o
b,m,,,,,,,,
b,m,,,,,,,,
i,k,l,o,,,,,,
i,k,e,l,,,,,,
,,,,,,,,,
g,h,q,n,f,m,c,,,
k,e,l,o,a,o,,,,
,,,,,,,,,
k,e,l,o,,,,,,
m,c,,,,,,,,
b,c,,,,,,,,
g,q,p,h,f,m,c,,,
g,p,h,f,j,m,c,,,
i,k,e,o,,,,,,
g,h,q,n,f,m,c,,,
i,k,e,o,a,o,a,o,,
k,e,l,o,,,,,,
,,,,,,,,,
g,q,h,f,n,m,c,,,
,,,,,,,,,
k,e,l,o,a,o,a,o,a,
g,q,p,f,j,m,c,,,
,,,,,,,,,
g,q,p,f,n,m,c,,,
,,,,,,,,,
i,e,l,o,a,o,,,,
h,q,p,n,f,m,c,,,
m,c,,,,,,,,
m,c,,,,,,,,
g,p,q,h,f,j,m,,,
,,,,,,,,,
,,,,,,,,,
b,m,,,,,,,,
b,m,,,,,,,,
b,m,,,,,,,,
i,k,e,l,,,,,,
g,p,h,q,f,m,c,,,
b,c,,,,,,,,
i,k,e,l,o,o,,,,
q,h,p,n,f,m,c,,,
i,e,l,o,,,,,,
,,,,,,,,,
i,e,l,o,,,,,,
,,,,,,,,,
