0,1,2,3,4,5,6,7,8,9
i,l,e,k,o,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
i,k,o,l,e,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
i,k,o,l,o,a,e,,,
m,b,c,,,,,,,
i,k,e,o,l,,,,,
d,,,,,,,,,
g,p,q,h,n,f,m,c,,
m,b,c,,,,,,,
d,,,,,,,,,
e,k,i,l,o,a,o,a,o,
d,,,,,,,,,
i,o,e,l,k,,,,,
b,c,m,,,,,,,
g,p,h,q,n,f,m,c,,
i,k,l,e,o,,,,,
g,p,h,q,f,m,j,c,,
i,k,o,l,e,,,,,
d,,,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
i,k,o,l,e,,,,,
c,m,b,,,,,,,
g,c,q,p,n,f,m,h,,
d,,,,,,,,,
f,q,p,h,n,g,m,c,,
d,,,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
i,k,e,a,o,l,o,,,
i,l,e,k,o,,,,,
i,k,e,l,o,a,o,a,o,a
c,m,b,,,,,,,
b,c,m,,,,,,,
i,k,l,e,o,,,,,
i,k,e,o,l,,,,,
d,,,,,,,,,
g,h,p,f,n,q,m,c,,
i,k,o,l,o,a,e,,,
d,,,,,,,,,
e,k,i,l,o,,,,,
b,c,m,,,,,,,
m,b,c,,,,,,,
h,q,p,g,n,f,m,c,,
g,p,q,h,f,c,m,j,,
i,k,l,e,o,,,,,
g,h,p,n,q,f,m,c,,
i,k,e,l,o,a,o,o,a,
i,e,k,l,o,,,,,
d,,,,,,,,,
g,p,h,q,f,n,m,c,,
d,,,,,,,,,
i,k,o,l,o,a,e,a,o,a
g,h,q,p,f,j,c,m,,
d,,,,,,,,,
g,q,p,h,n,f,m,c,,
d,,,,,,,,,
i,k,e,l,o,a,o,,,
g,h,p,q,n,f,m,c,,
m,b,c,,,,,,,
m,b,c,,,,,,,
g,p,f,h,q,j,m,c,,
d,,,,,,,,,
d,,,,,,,,,
m,b,c,,,,,,,
c,m,b,,,,,,,
c,m,b,,,,,,,
i,o,e,l,k,,,,,
g,p,h,n,q,f,m,c,,
c,m,b,,,,,,,
i,k,e,a,o,l,o,,,
m,q,h,p,n,f,g,c,,
i,k,o,l,e,,,,,
d,,,,,,,,,
k,i,e,l,o,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
m,b,c,,,,,,,
g,c,p,h,j,f,m,q,,
d,,,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
i,k,o,l,e,a,o,a,o,a
b,c,m,,,,,,,
g,q,h,m,j,f,p,c,,
i,l,e,k,o,,,,,
d,,,,,,,,,
m,b,c,,,,,,,
c,m,b,,,,,,,
b,c,m,,,,,,,
g,p,h,f,j,q,m,c,,
g,f,p,q,h,n,m,c,,
d,,,,,,,,,
o,k,e,l,i,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
i,o,e,l,o,a,o,a,a,k
g,h,q,p,c,f,m,n,,
