0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
c,d,m,b,g,f,p,n,e,a,i,h,k,l,j,o
c,j,d,b,l,f,p,n,e,a,i,h,k,g,m,o
d,b,l,h,c,p,m,n,e,a,i,k,f,g,j,o
g,c,b,m,l,f,p,n,e,a,i,k,h,d,j,o
c,m,d,b,l,f,p,n,e,g,i,h,k,a,j,o
d,c,m,b,l,f,p,n,e,g,i,h,k,a,o,j
d,c,m,b,l,f,p,n,k,a,i,h,e,g,j,o
d,c,b,l,f,p,n,m,e,a,i,o,h,g,j,k
c,d,o,b,l,f,p,n,e,a,i,h,k,g,j,m
j,b,l,f,p,c,m,n,e,a,i,k,h,g,d,o
c,d,m,o,l,f,p,n,e,a,i,k,h,g,b,j
d,b,c,l,f,m,p,n,k,a,i,e,h,g,j,o
d,c,f,l,m,b,p,n,e,a,i,h,k,g,o,j
d,c,m,b,l,f,n,p,e,a,i,h,k,g,j,o
p,c,b,m,l,f,d,n,e,a,i,k,h,g,j,o
c,o,m,b,l,f,p,n,e,a,i,k,h,g,d,j
c,d,b,m,l,f,k,n,e,a,i,p,h,g,j,o
c,m,d,b,l,f,p,n,e,a,o,k,h,g,j,i
c,p,d,b,l,f,m,n,e,a,i,k,h,g,o,j
c,m,d,b,l,f,p,n,e,j,i,h,k,g,o,a
d,b,c,l,f,a,n,m,e,p,i,h,k,g,o,j
e,m,d,b,l,f,p,n,c,a,i,h,k,g,o,j
d,j,b,l,f,p,m,n,e,a,i,k,h,g,c,o
d,c,b,m,l,f,p,n,e,a,g,h,k,i,o,j
d,b,p,f,l,n,c,m,e,a,i,k,h,g,o,j
d,b,c,m,l,o,p,n,e,a,i,h,k,g,j,f
c,d,b,l,f,p,m,n,a,e,i,k,h,g,j,o
d,b,l,f,c,m,p,n,e,a,i,k,h,o,g,j
c,m,d,b,o,f,p,n,e,a,i,h,k,g,l,j
d,c,b,l,f,m,p,n,k,a,i,e,h,g,o,j
d,b,l,c,m,f,p,h,e,a,i,k,n,g,o,j
d,c,m,b,l,f,p,n,i,a,e,k,h,g,j,o
d,b,l,c,m,f,p,n,e,a,i,k,h,g,j,o
d,l,b,f,c,m,p,n,e,a,i,h,k,g,j,o
