0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
c,d,o,b,l,f,p,n,e,a,i,h,k,g,j,m
c,m,d,b,k,f,p,n,e,a,i,h,l,g,j,o
d,b,l,k,c,p,m,n,e,a,i,f,h,g,j,o
d,c,b,m,l,n,p,f,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,n,j,a,i,h,k,g,e,o
d,c,m,g,l,f,p,n,e,a,i,h,k,b,o,j
d,c,o,b,l,f,p,n,e,a,i,h,k,g,j,m
d,c,b,p,f,l,n,m,e,a,i,k,h,g,j,o
c,d,m,b,l,f,p,n,h,a,i,e,k,g,j,o
e,b,l,f,p,c,m,n,d,a,i,k,h,g,j,o
c,d,m,n,l,f,p,b,e,a,i,k,h,g,o,j
d,b,c,l,g,m,p,n,e,a,i,k,h,f,j,o
d,c,b,l,m,f,o,n,e,a,i,h,k,g,p,j
d,c,m,g,l,f,p,n,e,a,i,h,k,b,j,o
d,c,l,m,b,f,p,n,e,a,i,k,h,g,j,o
c,d,m,b,p,f,l,n,e,a,i,k,h,g,o,j
c,d,b,e,l,f,p,n,m,a,i,k,h,g,j,o
c,m,d,b,h,f,p,n,e,a,i,k,l,g,j,o
p,m,d,b,l,f,c,n,e,a,i,k,h,g,o,j
c,m,d,b,l,f,p,n,a,e,i,h,k,g,o,j
d,b,c,n,f,p,l,m,e,a,i,h,k,g,o,j
c,m,d,b,l,f,h,n,e,a,i,p,k,g,o,j
d,c,b,l,f,p,m,n,e,a,j,k,h,g,i,o
d,c,b,m,l,f,p,n,e,a,i,h,j,g,o,k
d,l,b,f,p,n,c,m,e,a,i,k,h,g,o,j
d,b,c,m,p,f,l,n,e,a,i,h,k,g,j,o
c,d,b,f,l,p,m,n,e,a,i,k,h,g,j,o
d,b,l,f,c,m,n,p,e,a,i,k,h,g,o,j
f,m,d,b,l,c,p,n,e,a,i,h,k,g,o,j
d,c,b,l,n,m,p,f,e,a,i,k,h,g,o,j
d,l,b,c,m,f,p,n,e,a,i,k,h,g,o,j
d,c,m,b,l,f,p,k,e,a,i,n,h,g,j,o
f,b,l,c,d,m,p,n,e,a,i,k,h,g,j,o
d,b,l,n,c,m,p,f,e,a,i,h,k,g,j,o
h,c,b,m,l,f,p,n,e,a,i,d,k,g,j,o
d,b,c,l,e,f,p,n,m,a,i,h,k,g,j,o
h,c,b,l,f,m,p,n,e,a,i,k,d,g,o,j
