0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
c,d,m,b,l,f,p,n,e,a,i,d,h,k,g,j,o
c,m,d,b,l,f,p,n,e,a,i,h,i,k,g,j,o
d,b,i,l,f,c,p,m,n,e,a,i,k,h,g,j,o
d,b,c,b,m,l,f,p,n,e,a,i,k,h,g,j,o
c,m,d,b,e,l,f,p,n,e,a,i,h,k,g,j,o
d,c,m,b,l,f,p,n,e,a,i,h,k,g,o,j,j
d,c,l,m,b,l,f,p,n,e,a,i,h,k,g,j,o
d,c,b,l,f,p,n,m,e,a,i,k,h,g,j,h,o
c,d,m,b,l,f,p,n,e,a,i,h,k,g,k,j,o
d,b,l,f,p,c,m,n,e,d,a,i,k,h,g,j,o
c,d,m,b,l,f,i,p,n,e,a,i,k,h,g,o,j
d,b,c,n,l,f,m,p,n,e,a,i,k,h,g,j,o
d,c,b,l,m,f,l,p,n,e,a,i,h,k,g,o,j
d,c,m,b,l,f,p,n,e,a,i,i,h,k,g,j,o
d,c,b,m,l,f,p,n,e,a,i,k,h,g,j,a,o
c,o,d,m,b,l,f,p,n,e,a,i,k,h,g,o,j
p,c,d,b,m,l,f,p,n,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,i,a,k,h,g,j,o
c,m,d,o,b,l,f,p,n,e,a,i,k,h,g,o,j
c,m,f,d,b,l,f,p,n,e,a,i,h,k,g,o,j
d,b,c,l,f,p,n,m,e,a,i,c,h,k,g,o,j
c,m,d,b,l,f,p,n,e,a,i,h,k,g,l,o,j
d,c,b,l,f,p,m,n,e,a,c,i,k,h,g,j,o
d,c,b,m,l,f,p,n,e,a,i,h,k,g,o,i,j
d,b,l,p,f,p,n,c,m,e,a,i,k,h,g,o,j
d,b,c,m,h,l,f,p,n,e,a,i,h,k,g,j,o
c,d,b,l,f,p,m,n,e,a,i,k,h,g,a,j,o
d,b,l,k,f,c,m,p,n,e,a,i,k,h,g,o,j
l,c,m,d,b,l,f,p,n,e,a,i,h,k,g,o,j
d,c,b,l,f,m,p,n,e,a,j,i,k,h,g,o,j
d,b,l,c,m,f,p,n,e,a,i,j,k,h,g,o,j
