0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
c,d,m,b,l,f,p,l,n,e,a,i,h,k,g,j,o
c,h,m,d,b,l,f,p,n,e,a,i,h,k,g,j,o
d,h,b,l,f,c,p,m,n,e,a,i,k,h,g,j,o
d,c,b,m,l,f,p,n,e,a,i,f,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,i,h,k,g,i,j,o
d,c,m,b,l,f,p,n,e,a,i,h,k,g,i,o,j
d,c,m,b,l,f,g,p,n,e,a,i,h,k,g,j,o
d,c,b,l,f,p,n,m,e,a,i,k,k,h,g,j,o
c,d,m,b,l,f,p,n,e,a,i,h,k,g,j,j,o
d,b,l,f,p,c,m,n,e,a,i,k,h,k,g,j,o
c,d,m,b,f,l,f,p,n,e,a,i,k,h,g,o,j
d,b,c,l,f,m,p,n,e,a,i,k,h,g,j,b,o
d,c,b,n,l,m,f,p,n,e,a,i,h,k,g,o,j
d,c,m,b,l,f,p,n,e,a,o,i,h,k,g,j,o
d,c,b,m,l,f,p,n,e,a,i,k,l,h,g,j,o
c,d,j,m,b,l,f,p,n,e,a,i,k,h,g,o,j
c,d,b,m,l,f,p,n,n,e,a,i,k,h,g,j,o
c,m,d,b,j,l,f,p,n,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,j,i,k,h,g,o,j
c,m,d,b,l,f,p,n,e,a,i,d,h,k,g,o,j
d,b,c,l,f,d,p,n,m,e,a,i,h,k,g,o,j
c,m,h,d,b,l,f,p,n,e,a,i,h,k,g,o,j
d,c,b,l,f,p,m,n,e,e,a,i,k,h,g,j,o
d,c,b,m,l,f,p,n,e,a,i,h,k,g,g,o,j
m,d,b,l,f,p,n,c,m,e,a,i,k,h,g,o,j
d,b,c,m,l,f,p,n,e,a,i,h,o,k,g,j,o
c,d,b,l,c,f,p,m,n,e,a,i,k,h,g,j,o
d,b,l,f,c,m,p,n,e,a,i,k,h,c,g,o,j
f,c,m,d,b,l,f,p,n,e,a,i,h,k,g,o,j
d,c,b,l,f,c,m,p,n,e,a,i,k,h,g,o,j
d,b,l,c,m,f,p,n,e,a,i,k,h,h,g,o,j
d,c,m,b,l,f,p,n,e,a,i,k,h,g,j,a,o
j,d,b,l,c,f,m,p,n,e,a,i,k,h,g,j,o
d,b,b,l,f,c,m,p,n,e,a,i,h,k,g,j,o
d,c,b,m,e,l,f,p,n,e,a,i,h,k,g,j,o
d,b,c,l,m,f,p,n,e,e,a,i,h,k,g,j,o
d,c,b,l,f,m,p,n,e,a,i,k,h,g,o,o,j
c,m,d,b,l,f,p,n,e,a,k,i,k,h,g,j,o
e,d,c,m,b,l,f,p,n,e,a,i,h,k,g,o,j
d,b,c,m,l,f,p,n,e,a,i,k,g,h,g,o,j
d,b,l,c,f,p,m,n,e,a,i,k,h,g,c,o,j
c,d,b,m,l,f,p,n,n,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,a,i,o,h,k,g,o,j
d,c,m,b,l,f,p,b,n,e,a,i,k,h,g,o,j
d,c,b,l,f,p,n,m,e,g,a,i,k,h,g,j,o
d,c,m,b,l,f,p,c,n,e,a,i,k,h,g,j,o
d,f,b,c,m,l,f,p,n,e,a,i,h,k,g,o,j
c,d,m,b,l,f,i,p,n,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,i,k,g,h,g,j,o
c,d,m,b,l,f,p,n,e,a,i,h,k,o,g,o,j
c,d,m,b,l,f,f,p,n,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,a,i,h,f,k,g,j,o
d,c,b,m,j,l,f,p,n,e,a,i,h,k,g,o,j
c,m,d,b,l,f,p,n,e,a,i,k,d,h,g,o,j
d,b,c,m,l,e,f,p,n,e,a,i,k,h,g,j,o
d,c,m,p,b,l,f,p,n,e,a,i,k,h,g,j,o
c,m,g,d,b,l,f,p,n,e,a,i,k,h,g,o,j
c,m,b,d,b,l,f,p,n,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,a,i,h,e,k,g,j,o
d,c,b,m,l,f,p,n,e,a,i,k,h,k,g,o,j
c,m,d,b,l,f,p,n,e,a,i,k,h,g,j,j,o
c,m,d,b,l,f,p,n,e,a,i,k,h,g,o,o,j
c,d,m,b,l,f,p,n,j,e,a,i,k,h,g,o,j
c,d,m,b,l,f,p,n,e,a,i,h,k,g,c,j,o
d,b,c,l,f,m,p,n,e,a,d,i,h,k,g,o,j
c,m,d,b,m,l,f,p,n,e,a,i,k,h,g,o,j
c,m,d,b,a,l,f,p,n,e,a,i,k,h,g,o,j
c,d,b,l,f,p,m,n,e,a,i,k,h,g,j,d,o
c,d,m,b,l,f,p,n,e,l,a,i,h,k,g,o,j
c,m,d,b,l,f,p,n,e,a,i,e,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,i,k,h,g,l,j,o
c,m,m,d,b,l,f,p,n,e,a,i,k,h,g,j,o
d,b,l,c,m,f,p,n,e,a,i,h,k,f,g,o,j
d,c,b,l,o,f,p,n,m,e,a,i,h,k,g,j,o
c,m,d,b,j,l,f,p,n,e,a,i,h,k,g,j,o
c,d,b,m,l,f,p,n,e,e,a,i,k,h,g,j,o
d,b,c,l,m,f,p,n,e,a,i,h,a,k,g,o,j
