0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
c,d,m,o,l,f,p,n,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,a,i,h,k,g,j,o
d,b,l,f,c,p,m,n,e,a,i,k,h,g,j,o
d,c,b,m,l,h,p,n,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,l,h,k,g,j,o
d,c,m,b,l,f,p,n,e,a,i,h,h,g,o,j
d,c,m,b,l,f,p,n,e,a,i,h,l,g,j,o
d,c,b,l,l,p,n,m,e,a,i,k,h,g,j,o
c,d,m,b,l,f,p,n,e,a,i,h,k,g,j,l
d,b,l,f,p,c,m,b,e,a,i,k,h,g,j,o
c,d,m,b,l,f,p,n,e,a,l,k,h,g,o,j
d,b,c,l,f,f,p,n,e,a,i,k,h,g,j,o
d,c,b,l,m,f,p,n,e,a,i,h,k,g,o,j
d,c,m,b,l,f,p,l,e,a,i,h,k,g,j,o
d,c,b,m,l,f,p,n,e,a,i,k,h,i,j,o
c,d,m,b,l,f,p,n,e,a,i,k,h,g,o,j
c,d,b,m,l,f,p,n,e,a,i,k,h,g,k,o
c,m,d,b,l,f,p,n,b,a,i,k,h,g,j,o
c,h,d,b,l,f,p,n,e,a,i,k,h,g,o,j
c,m,d,b,l,f,p,n,e,a,i,d,k,g,o,j
d,b,c,l,f,p,n,n,e,a,i,h,k,g,o,j
h,m,d,b,l,f,p,n,e,a,i,h,k,g,o,j
d,c,b,l,f,p,m,n,l,a,i,k,h,g,j,o
d,c,b,m,l,f,p,n,e,a,i,h,m,g,o,j
n,b,l,f,p,n,c,m,e,a,i,k,h,g,o,j
d,b,c,m,l,f,p,n,e,a,i,h,k,b,j,o
c,d,b,l,f,p,m,n,e,a,i,k,h,g,j,o
d,b,l,f,c,m,p,n,k,a,i,k,h,g,o,j
c,m,j,b,l,f,p,n,e,a,i,h,k,g,o,j
d,c,b,l,f,m,p,n,e,a,i,k,h,g,o,l
d,b,l,c,m,f,p,n,e,a,i,k,h,g,c,j
d,c,m,b,l,f,p,n,e,a,i,k,h,g,j,o
d,b,l,k,f,m,p,n,e,a,i,k,h,g,j,o
d,b,l,f,c,m,p,p,e,a,i,h,k,g,j,o
d,c,b,m,l,f,p,n,e,a,n,h,k,g,j,o
d,b,c,l,m,b,p,n,e,a,i,h,k,g,j,o
d,c,b,l,f,m,p,n,e,a,i,k,e,g,o,j
c,m,d,b,l,f,p,n,e,a,k,k,h,g,j,o
d,c,m,b,l,f,p,n,e,a,i,h,k,g,f,j
d,b,c,m,l,f,p,n,e,a,i,k,h,g,o,c
d,b,l,c,f,p,m,n,e,a,i,k,h,p,o,j
c,d,b,m,l,f,p,n,e,a,i,h,k,g,j,c
c,m,d,b,l,f,p,n,j,a,i,h,k,g,o,j
d,c,m,b,l,d,p,n,e,a,i,k,h,g,o,j
d,c,b,l,f,p,n,m,e,a,i,l,h,g,j,o
d,c,m,b,l,f,p,n,e,a,i,k,h,g,j,o
d,b,c,m,l,f,p,n,e,c,i,h,k,g,o,j
c,d,m,b,l,f,p,n,e,a,i,f,h,g,j,o
c,m,d,b,l,f,p,n,i,a,i,k,h,g,j,o
c,d,g,b,l,f,p,n,e,a,i,h,k,g,o,j
o,d,m,b,l,f,p,n,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,a,j,h,k,g,j,o
d,c,b,m,l,f,p,n,e,a,i,h,k,g,o,j
c,m,d,b,l,f,p,n,a,a,i,k,h,g,o,j
d,b,c,m,l,f,p,n,e,a,i,k,h,g,j,o
d,c,m,b,l,f,p,n,e,a,i,k,h,g,j,p
c,m,d,b,b,f,p,n,e,a,i,k,h,g,o,j
c,m,d,b,l,f,p,n,e,a,l,h,k,g,j,o
c,m,d,b,l,m,p,n,e,a,i,h,k,g,j,o
f,c,b,m,l,f,p,n,e,a,i,k,h,g,o,j
b,m,d,b,l,f,p,n,e,a,i,k,h,g,j,o
c,m,d,b,g,f,p,n,e,a,i,k,h,g,o,j
c,d,m,b,l,f,p,n,e,a,i,k,h,g,o,m
c,d,m,b,e,f,p,n,e,a,i,h,k,g,j,o
d,b,c,l,f,m,p,d,e,a,i,h,k,g,o,j
c,m,e,b,l,f,p,n,e,a,i,k,h,g,o,j
c,m,d,b,l,f,p,n,e,a,i,p,h,g,o,j
c,d,b,l,f,p,m,n,e,a,i,k,h,g,j,o
k,d,m,b,l,f,p,n,e,a,i,h,k,g,o,j
c,m,d,b,l,f,p,n,e,a,i,k,h,g,j,o
a,m,d,b,l,f,p,n,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,i,k,h,g,j,h
d,b,l,c,m,f,p,n,g,a,i,h,k,g,o,j
d,c,b,l,f,p,n,m,e,a,i,h,k,g,j,h
c,m,d,f,l,f,p,n,e,a,i,h,k,g,j,o
c,d,b,m,l,f,p,n,e,p,i,k,h,g,j,o
d,b,b,l,m,f,p,n,e,a,i,h,k,g,o,j
d,l,c,l,m,f,p,n,e,a,i,k,h,g,j,o
d,c,m,b,l,f,p,n,e,a,i,k,l,g,j,o
d,b,c,l,f,m,p,n,e,a,i,k,h,g,o,o
c,m,d,b,l,f,p,n,e,a,i,h,k,g,o,m
c,m,d,b,l,f,p,c,e,a,i,h,k,g,o,j
d,c,m,b,a,f,p,n,e,a,i,k,h,g,j,o
c,m,d,b,l,f,g,n,e,a,i,k,h,g,o,j
d,c,b,m,l,f,p,n,h,a,i,h,k,g,o,j
c,c,b,m,l,f,p,n,e,a,i,k,h,g,j,o
d,c,m,b,l,f,p,n,m,a,i,h,k,g,j,o
d,c,m,b,l,f,p,h,e,a,i,k,h,g,o,j
d,a,b,l,m,f,p,n,e,a,i,h,k,g,o,j
d,b,l,f,p,n,k,m,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,i,h,k,g,j,o
c,d,b,m,l,f,p,n,e,a,i,h,k,f,o,j
c,d,b,m,l,n,p,n,e,a,i,h,k,g,j,o
c,d,m,b,l,f,p,n,e,a,i,k,h,m,o,j
d,b,l,f,p,c,n,m,e,a,i,k,h,d,o,j
c,d,b,m,k,f,p,n,e,a,i,k,h,g,j,o
d,c,b,m,l,f,p,n,e,a,i,k,h,e,o,j
d,c,b,m,l,f,p,n,e,a,i,k,k,g,o,j
c,d,b,m,l,f,p,n,e,a,i,h,k,m,j,o
c,m,d,b,l,f,h,n,e,a,i,k,h,g,j,o
c,d,b,m,l,f,p,n,e,a,i,k,h,g,a,o
c,m,d,b,l,f,p,n,n,a,i,k,h,g,j,o
d,o,m,b,l,f,p,n,e,a,i,h,k,g,o,j
d,b,l,c,f,p,m,n,e,a,i,h,k,g,j,m
c,m,l,b,l,f,p,n,e,a,i,k,h,g,o,j
d,e,l,c,f,m,p,n,e,a,i,k,h,g,o,j
c,m,d,b,l,f,p,n,a,a,i,k,h,g,j,o
d,b,c,m,p,f,p,n,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,c,e,a,i,h,k,g,j,o
d,b,l,c,a,p,n,m,e,a,i,h,k,g,j,o
d,b,c,l,f,p,m,n,j,a,i,h,k,g,j,o
c,d,i,m,l,f,p,n,e,a,i,h,k,g,o,j
c,m,d,c,l,f,p,n,e,a,i,k,h,g,j,o
c,d,m,b,l,d,p,n,e,a,i,k,h,g,o,j
c,m,d,h,l,f,p,n,e,a,i,k,h,g,j,o
c,d,m,b,l,f,p,n,e,a,i,h,k,g,o,f
d,c,b,m,l,f,p,n,e,a,i,h,k,g,j,e
d,b,c,l,m,f,p,n,e,a,i,h,k,h,j,o
c,d,b,l,f,m,p,n,e,i,i,k,h,g,o,j
d,b,l,e,p,n,c,m,e,a,i,k,h,g,j,o
c,d,m,b,l,f,p,n,e,a,i,h,k,f,j,o
d,c,m,b,l,f,p,n,e,a,i,l,h,g,o,j
d,c,b,l,f,m,p,n,e,a,i,h,k,g,j,p
d,c,b,m,l,f,p,n,e,a,i,h,k,m,o,j
d,b,c,m,l,f,p,c,e,a,i,h,k,g,j,o
c,m,d,n,l,f,p,n,e,a,i,k,h,g,o,j
d,c,n,m,l,f,p,n,e,a,i,h,k,g,o,j
d,c,b,l,f,m,p,n,e,a,i,h,k,g,o,j
h,m,d,b,l,f,p,n,e,a,i,h,k,g,o,j
d,c,b,m,l,f,p,n,h,a,i,h,k,g,j,o
d,b,c,m,l,f,p,n,e,a,l,k,h,g,j,o
p,c,m,b,l,f,p,n,e,a,i,k,h,g,j,o
d,c,m,b,l,f,p,n,e,a,i,k,h,g,o,j
d,m,b,l,f,p,m,n,e,a,i,h,k,g,o,j
d,c,m,b,l,f,p,n,e,a,i,h,k,g,j,o
d,c,b,l,m,f,b,n,e,a,i,h,k,g,j,o
d,b,l,f,p,b,m,n,e,a,i,h,k,g,o,j
c,d,m,l,l,f,p,n,e,a,i,h,k,g,o,j
d,c,b,l,f,m,p,n,e,a,i,k,h,g,p,o
c,d,b,l,m,f,p,n,k,a,i,k,h,g,j,o
d,c,b,m,l,f,p,n,g,a,i,k,h,g,j,o
c,d,b,m,l,f,p,n,e,a,i,b,k,g,o,j
d,b,c,l,f,m,p,n,e,a,i,m,k,g,j,o
d,b,c,l,m,f,p,n,e,a,i,k,h,n,o,j
d,c,b,m,l,f,p,n,e,a,i,h,k,g,o,j
d,c,m,l,l,f,p,n,e,a,i,h,k,g,j,o
d,b,l,f,c,m,p,n,e,a,i,k,h,g,f,j
c,d,m,b,l,f,p,n,e,a,i,f,k,g,o,j
d,c,m,b,l,f,j,n,e,a,i,h,k,g,o,j
d,b,l,f,c,m,p,n,e,a,i,h,k,n,o,j
d,b,c,m,l,f,p,n,e,a,l,h,k,g,j,o
d,b,c,m,l,f,p,n,e,a,i,m,h,g,j,o
c,d,b,m,l,g,p,n,e,a,i,h,k,g,j,o
d,b,n,f,c,p,m,n,e,a,i,k,h,g,j,o
d,c,m,b,l,f,p,n,e,a,i,h,k,g,k,o
d,c,m,b,l,f,p,n,e,a,i,k,h,j,j,o
d,b,c,l,m,f,p,n,c,a,i,h,k,g,o,j
d,b,c,m,l,f,p,n,a,a,i,h,k,g,j,o
c,d,b,m,e,f,p,n,e,a,i,k,h,g,j,o
d,c,m,b,l,f,p,n,e,a,i,k,h,g,j,k
d,c,m,b,l,f,p,n,e,a,i,h,k,g,o,o
d,b,l,c,m,f,p,f,e,a,i,k,h,g,j,o
d,b,l,f,c,p,n,k,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,f,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,a,h,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,i,k,h,i,o,j
c,m,d,b,l,f,p,n,e,a,i,h,k,g,j,o
d,b,l,c,f,m,p,n,h,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,b,i,h,k,g,o,j
d,j,m,b,l,f,p,n,e,a,i,h,k,g,o,j
d,c,e,m,l,f,p,n,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,a,i,i,h,g,j,o
c,k,d,b,l,f,p,n,e,a,i,h,k,g,j,o
d,c,b,m,l,f,p,n,e,d,i,k,h,g,o,j
d,o,l,f,p,n,c,m,e,a,i,k,h,g,j,o
d,c,m,b,l,f,p,n,l,a,i,k,h,g,j,o
d,l,c,l,m,f,p,n,e,a,i,h,k,g,j,o
c,d,b,l,m,f,p,n,c,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,a,i,p,h,g,j,o
d,b,c,l,m,f,p,o,e,a,i,k,h,g,o,j
d,c,f,b,l,f,p,n,e,a,i,h,k,g,j,o
c,d,b,m,l,f,p,n,e,a,i,k,h,f,j,o
c,m,d,b,l,f,p,n,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,a,i,h,k,g,g,j
c,d,b,b,l,f,p,n,e,a,i,h,k,g,j,o
d,c,b,m,a,f,p,n,e,a,i,h,k,g,j,o
d,b,l,f,p,c,n,m,e,a,i,k,p,g,j,o
c,m,p,b,l,f,p,n,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,j,a,i,h,k,g,o,j
c,m,d,b,l,f,p,n,e,a,i,k,h,g,j,g
c,m,d,b,l,f,p,j,e,a,i,k,h,g,j,o
c,d,m,b,l,f,p,n,e,a,i,o,k,g,j,o
c,m,d,b,l,f,p,n,e,a,i,h,m,g,j,o
d,b,l,f,c,m,p,n,e,i,i,h,k,g,j,o
c,d,m,b,l,f,p,n,e,l,i,k,h,g,j,o
d,b,l,f,c,p,n,m,e,h,i,h,k,g,j,o
d,b,l,c,f,p,m,c,e,a,i,h,k,g,j,o
c,m,d,b,c,f,p,n,e,a,i,k,h,g,j,o
