0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
c,d,m,a,l,f,p,n,e,b,i,h,k,g,j,o
c,m,d,b,l,h,p,n,e,a,i,f,k,g,j,o
d,a,l,f,c,p,m,n,e,b,i,k,h,g,j,o
d,c,b,m,l,f,p,n,e,a,i,k,h,j,g,o
c,b,d,m,l,f,p,n,e,a,i,h,k,g,j,o
e,c,m,b,l,f,p,n,d,a,i,h,k,g,o,j
d,c,m,b,l,f,g,n,e,a,i,h,k,p,j,o
c,d,b,l,f,p,n,m,e,a,i,k,h,g,j,o
c,d,m,b,l,f,g,n,e,a,i,h,k,p,j,o
d,b,l,f,p,c,m,n,e,a,j,k,h,g,i,o
c,d,m,b,l,h,p,n,e,a,i,k,f,g,o,j
d,b,c,l,f,m,p,n,e,a,i,k,j,g,h,o
d,c,b,l,j,f,p,n,e,a,i,h,k,g,o,m
d,f,m,b,l,c,p,n,e,a,i,h,k,g,j,o
d,c,b,m,l,f,p,e,n,a,i,k,h,g,j,o
c,d,m,b,l,f,p,n,a,e,i,k,h,g,o,j
c,d,b,m,p,f,l,n,e,a,i,k,h,g,j,o
c,m,d,o,l,f,p,n,e,a,i,k,h,g,j,b
c,m,d,b,l,f,p,n,e,a,i,k,g,h,o,j
c,m,d,b,l,f,h,n,e,a,i,p,k,g,o,j
d,b,c,l,f,p,n,m,e,k,i,h,a,g,o,j
c,m,d,b,l,n,p,f,e,a,i,h,k,g,o,j
d,c,b,l,f,p,m,n,e,a,i,k,g,h,j,o
d,c,b,m,l,f,p,n,e,k,i,h,a,g,o,j
d,i,l,f,p,n,c,m,e,a,b,k,h,g,o,j
d,b,c,m,l,f,e,n,p,a,i,h,k,g,j,o
c,d,b,i,f,p,m,n,e,a,l,k,h,g,j,o
d,b,l,f,c,m,p,n,g,a,i,k,h,e,o,j
c,m,d,b,l,f,p,n,j,a,i,h,k,g,o,e
o,c,b,l,f,m,p,n,e,a,i,k,h,g,d,j
d,i,l,c,m,f,p,n,e,a,b,k,h,g,o,j
d,c,m,b,l,f,p,n,e,j,i,k,h,g,a,o
i,b,l,c,f,m,p,n,e,a,d,k,h,g,j,o
d,b,l,f,c,j,p,n,e,a,i,h,k,g,m,o
f,c,b,m,l,d,p,n,e,a,i,h,k,g,j,o
d,b,c,l,m,a,p,n,e,f,i,h,k,g,j,o
d,i,b,l,f,m,p,n,e,a,c,k,h,g,o,j
c,m,d,b,l,f,p,n,e,a,j,k,h,g,i,o
d,g,m,b,l,f,p,n,e,a,i,h,k,c,o,j
a,b,c,m,l,f,p,n,e,d,i,k,h,g,o,j
d,b,l,c,f,o,m,n,e,a,i,k,h,g,p,j
