0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
c,d,n,m,b,l,f,p,n,e,a,i,h,k,g,j,o
c,m,d,d,b,l,f,p,n,e,a,i,h,k,g,j,o
d,b,l,f,c,p,m,e,n,e,a,i,k,h,g,j,o
d,c,b,m,l,f,p,n,e,a,i,k,h,g,j,o,o
c,m,d,b,l,f,p,n,e,a,i,h,a,k,g,j,o
d,c,m,b,f,l,f,p,n,e,a,i,h,k,g,o,j
d,c,m,b,l,f,p,n,e,a,i,b,h,k,g,j,o
d,c,b,l,g,f,p,n,m,e,a,i,k,h,g,j,o
c,d,m,b,l,f,p,n,o,e,a,i,h,k,g,j,o
d,b,l,f,p,c,m,n,e,a,i,k,h,g,j,j,o
c,d,m,b,l,f,p,n,e,a,i,k,h,e,g,o,j
d,b,c,l,f,m,p,n,e,a,i,k,h,g,p,j,o
d,c,b,n,l,m,f,p,n,e,a,i,h,k,g,o,j
d,c,f,m,b,l,f,p,n,e,a,i,h,k,g,j,o
h,d,c,b,m,l,f,p,n,e,a,i,k,h,g,j,o
c,d,m,b,l,f,p,n,e,a,i,k,e,h,g,o,j
c,d,b,m,k,l,f,p,n,e,a,i,k,h,g,j,o
c,m,d,b,j,l,f,p,n,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,i,k,h,g,l,o,j
c,a,m,d,b,l,f,p,n,e,a,i,h,k,g,o,j
d,b,c,d,l,f,p,n,m,e,a,i,h,k,g,o,j
c,m,d,b,j,l,f,p,n,e,a,i,h,k,g,o,j
d,c,b,l,f,p,m,h,n,e,a,i,k,h,g,j,o
d,c,b,m,l,f,p,n,e,a,i,h,k,n,g,o,j
d,b,l,f,p,n,c,m,m,e,a,i,k,h,g,o,j
d,b,c,m,l,f,p,n,c,e,a,i,h,k,g,j,o
c,d,b,l,f,p,m,n,e,a,i,k,k,h,g,j,o
d,b,l,f,c,m,p,n,e,f,a,i,k,h,g,o,j
c,m,d,b,l,f,p,n,e,a,i,h,c,k,g,o,j
d,c,b,l,f,m,p,n,e,a,i,k,h,g,k,o,j
d,b,l,c,m,f,p,n,e,a,i,d,k,h,g,o,j
d,c,k,m,b,l,f,p,n,e,a,i,k,h,g,j,o
d,b,l,c,f,m,p,n,j,e,a,i,k,h,g,j,o
d,b,l,f,c,m,p,n,e,m,a,i,h,k,g,j,o
d,c,b,m,l,f,p,n,h,e,a,i,h,k,g,j,o
d,b,c,l,m,f,p,n,e,m,a,i,h,k,g,j,o
d,c,b,l,f,o,m,p,n,e,a,i,k,h,g,o,j
c,m,d,b,l,f,p,n,i,e,a,i,k,h,g,j,o
d,c,m,b,l,f,p,n,e,f,a,i,h,k,g,o,j
d,b,c,m,l,f,p,n,e,a,i,k,h,g,j,o,j
d,b,l,c,f,p,m,n,e,a,i,k,h,g,o,j,j
c,d,b,m,l,f,p,h,n,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,a,i,h,d,k,g,o,j
d,c,m,b,l,f,p,n,n,e,a,i,k,h,g,o,j
d,c,b,l,f,p,n,m,e,a,i,k,p,h,g,j,o
