0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
n,d,j,e,p,l,r,i,o,a,s,g,BOS,q,c,k,t,h,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,h,q,c,k,t,n,t,h,t,m,b,EOS,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,k,f,u,t,m,b,EOS,,,,,,,,,,,
o,d,j,e,p,l,r,i,BOS,a,s,g,n,q,c,k,t,h,t,m,b,EOS,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,k,s,g,n,q,c,a,t,h,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,
BOS,d,j,e,b,l,r,i,o,a,s,g,n,q,c,k,t,m,p,u,f,k,t,h,t,m,b,EOS,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,t,q,c,k,t,m,b,u,f,k,t,h,h,h,n,m,b,EOS,,,,,,,
BOS,d,j,e,p,q,r,i,o,a,s,g,n,l,c,k,t,h,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,b,g,n,q,c,k,t,m,s,EOS,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,EOS,g,n,q,c,k,t,h,t,h,t,m,b,u,f,k,h,m,b,s,,,,,,,
BOS,d,j,e,p,l,r,t,o,a,s,g,n,q,c,k,i,m,b,EOS,,,,,,,,,,,,,,,,,
BOS,EOS,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,d,,,,,,,,,,,,,,,,,
BOS,d,j,e,s,l,r,i,o,a,p,g,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,b,a,s,g,n,q,c,k,t,h,t,m,b,u,f,k,t,h,h,m,b,u,f,k,m,o,EOS,,
j,d,BOS,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,EOS,r,i,o,a,s,g,n,q,c,k,t,h,t,m,b,l,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,h,t,k,b,u,f,m,m,b,EOS,,,,,,,,
BOS,r,j,e,p,l,d,i,o,a,s,g,n,q,c,k,t,h,t,m,b,EOS,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,h,t,t,h,m,b,u,f,k,m,b,u,f,k,m,b,u,f,EOS
BOS,d,j,e,p,l,r,i,o,a,s,k,n,q,c,g,t,h,t,m,b,EOS,,,,,,,,,,,,,,,
BOS,d,j,c,p,l,r,i,o,a,s,g,n,q,e,k,t,h,t,m,b,EOS,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,h,t,h,m,b,u,f,k,m,b,u,f,k,m,b,u,f,EOS
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,h,t,h,m,b,EOS,,,,,,,,,,,,
j,d,BOS,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,h,t,m,b,u,f,k,m,b,u,f,k,m,b,u,f,h,EOS
BOS,d,j,e,p,l,r,i,o,a,s,g,n,k,c,k,t,h,t,m,b,u,f,k,t,m,b,u,f,q,h,m,b,u,f,h,EOS
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,k,b,u,f,m,t,h,t,m,b,u,f,k,m,b,u,f,h,h,EOS
BOS,d,t,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,m,b,u,f,k,h,m,b,u,f,k,j,m,b,EOS,,,
BOS,d,j,e,p,a,r,i,o,l,s,g,n,q,c,k,t,m,b,u,f,k,t,h,t,m,b,u,f,k,h,h,m,b,u,f,EOS
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,t,k,t,h,t,h,c,m,b,EOS,,,,,,,,,,,,,
BOS,d,j,l,p,e,r,i,o,a,s,g,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,
