0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,m,b,u,f,k,h,t,m,b,EOS,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,g,n,q,c,k,t,h,t,h,t,m,b,EOS,,,,,,,,,,,,,
BOS,d,g,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,,,
BOS,d,e,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,m,b,EOS,,,,,,,,,,,,,,,
p,BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,
BOS,d,j,e,p,l,h,r,i,o,a,s,g,n,q,c,k,t,m,b,u,f,k,t,h,t,m,b,EOS,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,u,f,k,t,h,t,h,h,p,m,b,EOS,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,b,m,b,u,f,k,t,m,b,EOS,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,m,k,t,m,b,EOS,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,j,h,t,m,b,u,f,k,h,m,b,EOS,,,,,,,
BOS,u,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,
BOS,d,r,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,m,t,m,b,EOS,,,,,,,,,,,,,,,,,
